"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,962.686012321355,553.011390761449
0.0125,833.043065716462,484.137580002421
0.025,703.400119111569,415.263769243394
0.0375,467.309055566946,282.023431150384
0.05,161.063656887546,104.150377423534
0.0625,-168.530322586615,-91.5824025418366
0.075,-471.274929696833,-275.354619685154
0.0875,-701.248153930318,-418.884090526485
0.1,-823.762492035664,-499.754045657961
0.1125,-820.603405267521,-504.920697916961
0.125,-692.730086617914,-432.809294902119
0.1375,-460.073702282801,-293.682084480609
0.15,-158.391950716659,-108.1631444841
0.1625,166.174771339933,95.7850381594504
0.175,464.200271778483,287.112734058389
0.1875,690.49099450979,436.376326834841
0.2,810.933108224567,520.30112332364
0.2125,807.644852918309,525.387015416194
0.225,681.628388969442,450.087067264702
0.2375,452.538675525092,305.152807439408
0.25,155.621643504369,112.110985275333
0.2625,-163.712841185345,-99.9337345577889
0.275,-456.833525975593,-298.689018674423
0.2875,-679.29889301232,-453.596012162028
0.3,-797.588301682012,-540.519110642014
0.3125,-794.173070778357,-545.522064410561
0.325,-670.090590525913,-467.077244891354
0.3375,-444.717335665188,-316.429346488934
0.35,-152.750776670413,-115.98729302723
0.3625,161.151765150245,104.017892447703
0.375,449.174129580246,310.075395939641
0.3875,667.669053046829,470.526617582997
0.4,783.736826799959,560.396043489866
0.4125,780.195598442552,565.309226325551
0.425,658.124522470548,483.769470569636
0.4375,436.613457769627,327.506366069059
0.45,149.777422178379,119.785014888337
0.4625,-158.476118560492,-108.032412959129
0.475,-441.230480183131,-321.268762062541
0.4875,-655.618650945524,-487.155032847538
0.5,-769.385752075455,-579.913870672385
0.5125,-765.722615097089,-584.735975113209
0.525,-645.740385225572,-500.152479606664
0.5375,-428.236346883228,-338.374330815299
0.55,-146.721241149113,-123.513905522317
0.5625,155.711568813243,111.983400909078
0.575,433.005408877287,332.254358568833
0.5875,643.152188160675,503.476331056553
0.6,754.551423408626,599.062601211632
0.6125,750.767433663288,603.790102210175
0.625,632.955329053904,516.223408209311
0.6375,419.586237449188,349.025258565435
0.65,143.570363548984,127.161434347702
0.6625,-152.844425669781,-115.861660121392
0.675,-424.508739541653,-343.028057505952
0.6875,-630.283583823238,-519.47712454937
0.7,-739.242615548236,-617.833361887222
0.7125,-735.343318914439,-622.466598739328
0.725,-619.771153156951,-531.964496830579
0.7375,-410.676379882636,-359.461195424837
0.75,-140.32589634149,-130.729471761197
0.7625,149.88077221622,119.662906735358
0.775,415.750791838555,353.590853023449
0.7875,617.014759506693,535.150372033077
0.8,723.4704256006,636.217631694775
0.812500000000001,719.454914680822,640.751762808082
0.825000000000001,606.195943859178,547.374265365087
0.837500000000001,401.505775473365,369.670842287819
0.850000000000001,136.991056844284,134.213527354135
0.862500000000001,-146.821559340961,-123.390551430296
0.875000000000001,-406.722838966265,-363.924807114002
0.887500000000001,-603.363612586047,-550.493048341159
0.900000000000001,-707.239680794115,-654.201991703658
0.912500000000001,-703.111951982098,-658.633616336902
0.925000000000001,-592.23584166548,-562.438795015877
0.937500000000001,-392.077163179855,-379.642037852336
0.950000000000001,-133.575101355695,-137.622293612325
0.962500000000001,143.675017309774,127.045699849699
0.975000000000001,397.439946734381,374.034362240559
0.987500000000001,589.325821654225,565.48559300252
1,690.559273315147,671.771088499242
1.0125,686.319393487807,676.097156016386
1.025,577.897902323725,577.146445190111
1.0375,382.405040288967,389.378985197897
1.05,130.068039150105,140.929284865304
1.0625,-140.433793888085,-130.616506388323
1.075,-387.905446024178,-383.906138082154
1.0875,-574.912199333059,-580.116274207412
1.1,-673.438936797155,-688.912953408144
1.1125,-669.091932501963,-693.129924723409
1.125,-563.19429946118,-591.483640544698
1.1375,-372.484783787453,-398.86387264826
1.15,-126.481364450428,-144.152601397583
1.1625,137.102342466124,134.10376073587
1.175,378.123979301113,393.532811199699
1.1875,560.13289045602,594.378029292892
1.2,655.893168767892,705.615438900981
1.2125,651.441977801236,709.721985136195
1.225,548.136501829666,605.447671126501
1.2375,362.334773887517,408.095701351589
1.25,122.815483591308,147.283957702998
1.2625,-133.686073800949,-137.509368695683
1.275,-368.101537877254,-402.903057170364
1.2875,-545.00496628955,-608.265282715003
1.3,-637.936159889778,-721.871607589767
1.3125,-633.384590287793,-725.864816284495
1.325,-532.73533431529,-619.028507551516
1.3375,-351.956187064688,-417.072821604068
1.35,-119.072855646574,-150.324788241913
1.3625,130.180562800353,140.821093181582
1.375,357.851772637591,412.027757259554
1.3875,529.53539086011,621.767093556828
1.4,619.581241764618,737.674990537291
1.4125,614.930765313171,741.55405168395
1.425,516.996319202636,632.219172462784
1.4375,341.3602115034,425.789320496712
1.45,115.256476496764,153.270619563148
1.4625,-126.600957935194,-144.049201916558
1.475,-347.376479532375,-420.889449685825
1.4875,-513.7314949031,-634.878979916708
1.5,-600.834840849303,-753.015533577006
1.5125,-596.087851278449,-756.776177375544
1.525,-500.937321299636,-645.018979249626
1.5375,-330.541532371317,-434.233393143139
1.55,-111.365561419602,-156.120547450656
1.5625,122.937502594301,147.185462685023
1.575,336.68455768147,429.492686949567
1.5875,497.603459253815,647.592218103205
1.6,581.706747543154,767.87873036934
1.6125,576.866752085258,771.520566023388
1.625,484.557098688907,657.406067292695
1.6375,319.515718060196,442.402599754534
1.65,107.402448937605,158.868797260711
1.6625,-119.199181096432,-150.228215941528
1.675,-325.776965048031,-437.819258653825
1.6875,-481.156463441482,-659.894343708002
1.7,-562.20940884529,-782.256212951018
1.7125,-557.279584503913,-785.773443304082
1.725,-467.868339449001,-669.372987822679
