"Time [ms]","InducedVoltage(Cos_Winding) [V]","InducedVoltage(Sin_Winding) [V]"
0,-1.10963011106269,0.00215419554587325
0.0125,-0.962997578330029,-0.0029843491840032
0.025,-0.816365045597372,-0.00812289391387965
0.0375,-0.54542697835923,-0.0107132086386572
0.05,-0.191460505353945,-0.00970889427441703
0.0625,0.191642947103557,-0.0049059116811499
0.075,0.5455257723992,0.00295685082678599
0.0875,0.816311245110771,0.0123334164694691
0.1,0.962770144161209,0.0211449904248461
0.1125,0.962618583945451,0.0271975465194575
0.125,0.815898330865535,0.0286485207396854
0.1375,0.544990874971068,0.0244248992306027
0.15,0.191152111841196,0.0145189227372353
0.1625,-0.191701857704786,8.88992073108589e-05
0.175,-0.545280399643086,-0.0166739740341319
0.1875,-0.81574241866771,-0.032856298851311
0.2,-0.961935226743103,-0.0453485155784181
0.2125,-0.961631281729592,-0.0513957535493499
0.225,-0.814923692127825,-0.0491577545853382
0.2375,-0.544201810674903,-0.0381230333414234
0.25,-0.190728338254565,-0.0193216908003648
0.2625,0.191646209264895,0.00473365639900871
0.275,0.544687215183857,0.0303799576409584
0.2875,0.814662189031255,0.0533602217343516
0.3,0.960489510440161,0.0695243965888669
0.3125,0.960032754971249,0.075563463923244
0.325,0.813429826702516,0.0696352738156663
0.3375,0.543065984787823,0.0517964630230231
0.35,0.190181582170528,0.0241125930044625
0.3625,-0.191469070762773,-0.0095507582161304
0.375,-0.543750019429975,-0.0440667158837886
0.3875,-0.813057993996091,-0.0738320122490825
0.4,-0.958433065577466,-0.0936583075037586
0.4125,-0.957823362223792,-0.0996824222167017
0.425,-0.811413036148993,-0.0900694514057614
0.4375,-0.541590008403148,-0.0654372729563481
0.45,-0.189504190941399,-0.02888705324247
0.4625,0.191160657833533,0.0143627411168183
0.475,0.542468751593625,0.0577289658489966
0.4875,0.810935692985984,0.094253533429235
0.5,0.955765496430665,0.11773095956727
0.5125,0.955004473536276,0.123737277317921
0.525,0.808881658082338,0.110444476307691
0.5375,0.539769364973986,0.0790353712792979
0.55,0.188721526134404,0.0336443688204036
0.5625,-0.190742253026483,-0.0191662344854419
0.575,-0.540838160760545,-0.0713524114395577
0.5875,-0.80830229684529,-0.114616587549175
0.6,-0.95249431322059,-0.141726260391645
0.6125,-0.951581942943245,-0.147710804963672
0.625,-0.80584644815518,-0.130751035770211
0.6375,-0.537603161867037,-0.0925815846754699
0.65,-0.187819511768207,-0.0383768150545644
0.6625,0.19019975795781,0.0239571215376466
0.675,0.538867095391676,0.0849282363732617
0.6875,0.805159454321393,0.134903758000872
0.7,0.948624758181275,0.165631124749689
0.7125,0.947564662983293,0.171592090336258
0.725,0.802301131717641,0.15097063483865
0.7375,0.535107938833624,0.106071007257694
0.75,0.186792716986181,0.0430881708805237
0.7625,-0.189531515839595,-0.0287303845503502
0.775,-0.536566837026399,-0.0984516072741543
0.7875,-0.801507644326515,-0.155106767514488
0.8,-0.944160454446694,-0.189433144172375
0.812500000000001,-0.942950662044024,-0.195366142366005
0.825000000000001,-0.79825145705938,-0.1710986892449
0.837500000000001,-0.532272901098882,-0.119494733543696
0.850000000000001,-0.185648771788006,-0.0477715429185872
0.862500000000001,0.188748008962085,0.0334868783653622
0.875000000000001,0.533917767244806,0.111911788306121
0.887500000000001,0.797359098901974,0.175214819949213
0.900000000000001,0.939098917988055,0.213117621708696
0.912500000000001,0.937740552921268,0.219017918337953
0.925000000000001,0.793698006910477,0.191119835417749
0.937500000000001,0.529094342398098,0.132840667263885
0.950000000000001,0.184393843139151,0.0524307432332818
0.962500000000001,-0.187852875321893,-0.0382243966718607
0.975000000000001,-0.530932353307015,-0.125305371444367
0.987500000000001,-0.792701304200089,-0.195212351098699
1,-0.933440213644266,-0.236667045294497
1.0125,-0.931932971118984,-0.24253162541101
1.025,-0.788636367660952,-0.211020737944753
1.0375,-0.525586153573835,-0.146106423229253
1.05,-0.183010841763991,-0.0570467287225289
1.0625,0.186829804867002,0.0429364319592226
1.075,0.527614217010018,0.138618078356943
1.0875,0.787534691955909,0.21508480658162
1.1,0.927187621375299,0.260066198720803
1.1125,0.925532018961724,0.265890341275144
1.125,0.783072170727269,0.230784180660718
1.1375,0.521740853374868,0.159276824945732
1.15,0.181516143022674,0.0616306543233772
1.1625,-0.185688598162907,-0.0476210549879859
1.175,-0.52395696991659,-0.15184282988286
1.1875,-0.781869306539765,-0.23482000272796
1.2,-0.920346312559757,-0.28329811391634
1.2125,-0.918544880434938,-0.289078922424952
1.225,-0.7770167682889,-0.250401378577912
1.2375,-0.51756676444544,-0.172344138786661
1.25,-0.179910015380386,-0.0661740000432722
1.2625,0.184434427170084,0.0522777694764216
1.275,0.519964094754331,0.164964748985834
1.2875,0.775714634033166,0.254406257036937
1.3,0.912925273667002,0.306349664696495
1.3125,0.910980847335176,0.312082225866752
1.325,0.770471858131638,0.269858495851821
1.3375,0.513070726134458,0.185304028310673
1.35,0.17818925505157,0.0706784842642392
1.3625,-0.183055068343242,-0.0568961031151051
1.375,-0.515652426527246,-0.177989881944868
1.3875,-0.769070436321742,-0.273829679854513
1.4,-0.904934756535306,-0.329207569741596
1.4125,-0.902848124044658,-0.334890718220364
1.425,-0.76343938912807,-0.289146084585793
1.4375,-0.508254095909727,-0.198148424981976
1.45,-0.17635653830824,-0.0751367833912351
1.4625,0.181568131947846,0.0614806980121075
1.475,0.511013388001386,0.190898709531614
1.4875,0.761942743677746,0.293082306405007
1.5,0.896373884818938,0.351860297647482
1.5125,0.894144528265072,0.357488839403317
1.525,0.755934683787025,0.308256446241176
1.5375,0.503107954918914,0.210866290948971
1.55,0.174413895412902,0.0795482905576447
1.5625,-0.179965720699245,-0.0660270225881293
1.575,-0.506055887449981,-0.203691384586611
1.5875,-0.754335424460294,-0.312151698791776
1.6,-0.887244030829875,-0.374289761602643
1.6125,-0.884873298166255,-0.379862343844323
1.625,-0.747946490900156,-0.3271684872642
1.6375,-0.497644887456495,-0.223450482865021
1.65,-0.172355731274273,-0.0839080491545773
1.6625,0.178247563262257,0.0705313963918824
1.675,0.500776207481395,0.216352185797246
1.6875,0.746246315022237,0.331021904253349
1.7,0.87755032306525,0.396483877157006
1.7125,0.875039931743087,0.401992930517088
1.725,0.739478561788315,0.345871305433169
1.7375,0.491870149091363,0.23589443628574
1.75,0.170182431020474,0.0882119129878729
1.7625,-0.176414508319497,-0.0749913488297979
1.775,-0.495173534676762,-0.228875696096235
1.7875,-0.737685915438424,-0.349681651097668
1.8,-0.867297116242009,-0.418421889672097
1.8125,-0.864651353482182,-0.423866754626817
1.825,-0.730544610286753,-0.364352937047096
1.8375,-0.485779860698131,-0.24818448830659
1.85,-0.167917323110882,-0.092466636361837
1.8625,0.174477856896168,0.0794061073750566
1.875,0.489258083446585,0.24125321846339
1.8875,0.72865576699853,0.36811657442413
1.9,0.856501441243723,0.440094916601145
1.9125,0.853718152120268,0.445468496648276
1.925,0.721153281044155,0.382606167251862
1.9375,0.479383401273993,0.260317164746351
1.95,0.165544599586889,0.0966577273116205
1.9625,-0.172424889421096,-0.0837679058990149
1.97499999999999,-0.483038520475741,-0.253477147802812
1.98749999999999,-0.719168119799794,-0.386316739400182
1.99999999999999,-0.845167905336193,-0.461487763377319
2.01249999999999,-0.842250646877544,-0.466790450559682
2.02499999999999,-0.711311961667501,-0.400615227100273
2.03749999999999,-0.472691799890902,-0.272287962900656
2.04999999999999,-0.163061259873136,-0.100788420824324
2.06249999999999,0.170259177368293,0.0880725712482592
2.07499999999999,0.47652123733424,0.265542411592155
2.08749999999999,0.709231546702491,0.404276169352681
2.09999999999999,0.83330370788376,0.482590909764154
2.11249999999999,0.830253651024212,0.487818271156668
2.12499999999999,0.701020760619952,0.418373182572885
2.13749999999999,0.465705298463963,0.284089861872412
2.14999999999999,0.160475751425072,0.104856066781561
2.16249999999999,-0.167994309808502,-0.092327183875755
2.17499999999999,-0.469692607493709,-0.277436591313118
2.18749999999999,-0.698854050239012,-0.421982563471366
2.19999999999999,-0.820914494971309,-0.503391044295155
2.21249999999999,-0.817736801697389,-0.50854181794795
2.22499999999999,-0.690277284028712,-0.435860051886598
2.23749999999999,-0.458424634685972,-0.295711052362988
2.24999999999999,-0.157791110465766,-0.108862058438489
2.26249999999999,0.165626054182486,0.0965240026515804
2.27499999999999,0.462570231041417,0.289159181635469
2.28749999999999,0.688028914761865,0.439420496771377
2.29999999999999,0.808004631842157,0.523871300197796
2.31249999999999,0.804696995430743,0.528940118685675
2.32499999999999,0.67910858868045,0.453080328468325
2.33749999999999,0.450836836496836,0.307134834514567
2.34999999999999,0.155010407936519,0.112794849402592
2.36249999999999,-0.163148428265482,-0.100657701484849
2.37499999999999,-0.455159401937966,-0.300698737870434
2.38749999999999,-0.676763532660719,-0.456576115550263
