"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,966.416615166399,554.962837258267
0.0125,836.277171105382,485.838066298278
0.025,706.137727044365,416.713295338288
0.0375,469.133968279537,282.999276287057
0.05,161.69994917426,104.501306088859
0.0625,-169.178326051602,-91.9131357561812
0.075,-473.105950336975,-276.319618674191
0.0875,-703.982288987291,-420.339404059372
0.1,-826.982251197404,-501.479786114771
0.1125,-823.818182785691,-506.654714116617
0.125,-695.450442808574,-434.28681049525
0.1375,-461.887042882601,-294.676508716138
0.15,-159.023268727459,-108.520094745997
0.1625,166.818747691126,96.1225568886604
0.175,466.020543021667,288.096787263981
0.1875,693.20772178446,437.859404409644
0.2,814.131925678147,522.059380104816
0.2125,810.838090427945,527.153194097365
0.225,684.330134477624,451.591486168408
0.2375,454.339031091322,306.164840589943
0.25,156.24812874559,112.473911796072
0.2625,-164.353390766766,-100.27820810542
0.275,-458.641022136716,-299.691011436961
0.2875,-681.996920407826,-455.105839332501
0.3,-800.764052371036,-542.308374418821
0.3125,-797.342641476953,-547.318782377112
0.325,-672.772127901534,-468.607403642037
0.3375,-446.503141473461,-317.457939208752
0.35,-153.371899698379,-116.355777764618
0.3625,161.788090009472,104.368782099134
0.375,450.968625339492,311.09480032036
0.3875,670.346020114882,472.061753745453
0.4,786.887076024928,562.214567469618
0.4125,783.339292706456,567.134848758502
0.425,660.78319335655,485.323599519004
0.4375,438.384252745847,328.550934404802
0.45,150.392217383041,120.158323185693
0.4625,-159.107953727045,-108.389104254661
0.475,-443.010166372458,-322.304501900634
0.4875,-658.27234617768,-488.713938735781
0.5,-772.50849081953,-581.760161665293
0.5125,-768.838219222056,-586.589042772913
0.525,-648.374933178914,-501.729545918313
0.5375,-429.990222627581,-339.434107787302
0.55,-147.329534085872,-123.892367258094
0.5625,156.338110308903,112.346070751297
0.575,434.768818047332,333.305437957986
0.5875,645.781491593635,505.058098359762
0.6,757.644490070373,600.935457357208
0.6125,753.852880223084,605.66943657545
0.625,635.563925004532,517.822614033532
0.6375,421.322092575241,350.099188843081
0.65,144.172442246802,127.544977273948
0.6625,-153.465567776497,-116.229934354874
0.675,-426.254756101901,-344.093924466866
0.6875,-632.886587537076,-521.080661383816
0.7,-742.304429504766,-619.731697254685
0.7125,-738.396759028838,-624.371108167616
0.725,-622.352433881117,-533.584736774711
0.7375,-412.394053369151,-360.54914955269
0.75,-140.920717464535,-131.117372500245
0.7625,150.495510254272,120.036161220111
0.775,417.478993073075,354.671213487144
0.7875,619.590269310318,536.774709399554
0.8,726.499191977737,638.14028362124
0.812500000000001,722.474908323864,642.680267945291
0.825000000000001,608.748261803046,549.014445487618
0.837500000000001,403.203942768785,370.771886002217
0.850000000000001,137.578877020646,134.60572895399
0.862500000000001,-147.430340358328,-123.768957101812
0.875000000000001,-408.432128173823,-365.018658873372
0.887500000000001,-605.909909886168,-552.137249908692
0.900000000000001,-710.233612331809,-656.147463280483
0.912500000000001,-706.096793699049,-660.584527735478
0.925000000000001,-594.757985968166,-564.097788383994
0.937500000000001,-393.754560613021,-380.755065871162
0.950000000000001,-134.155143892236,-138.018444706634
0.962500000000001,144.277460934421,127.429247068184
0.975000000000001,399.128847744995,375.140571137204
0.987500000000001,591.841685129546,567.148261189823
1,693.516491194317,673.737748076745
1.0125,689.267248540782,678.068865153213
1.025,580.388030595111,578.822574367316
1.0375,384.060156238292,390.503111783887
1.05,130.639824278657,141.328771139693
1.0625,-141.028936762363,-131.004336499
1.075,-389.573404226787,-385.024184649376
1.0875,-577.395411795784,-581.79565606311
1.1,-676.357507658942,-690.899146047623
1.1125,-672.000573092214,-695.120792514975
1.125,-565.650698718805,-593.175609017341
1.1375,-374.117422843589,-399.998439670429
1.15,-127.044538908932,-144.555386412757
1.1625,137.690098769225,134.495609284125
1.175,379.769509452339,394.661561728205
1.1875,562.582282640151,596.073147370633
1.2,658.771343495681,707.619910048688
1.2125,654.309740452853,711.730773858931
1.225,550.558110975311,607.154708827902
1.2375,363.943565007837,409.239897553526
1.25,123.370239498293,147.690116217888
1.2625,-134.266393034737,-137.905230623979
