"Time [ms]","InducedVoltage(Cos_Winding) [V]","InducedVoltage(Sin_Winding) [V]"
0,1.11635531918824,-0.00188884652127353
0.0125,0.968834310858221,0.00322967917399515
0.025,0.821313302528205,0.00834820486926384
0.0375,0.548733548042253,0.0108805874014111
0.05,0.192620663302091,0.00978513671049059
0.0625,-0.192803171189018,0.00487424518786551
0.075,-0.54883229809075,-0.00309972383181664
0.0875,-0.821259687445393,-0.0125717969101344
0.1,-0.968606669143299,-0.0214463326292071
0.1125,-0.968454506631716,-0.027517785309772
0.125,-0.820845035132133,-0.0289373687428834
0.1375,-0.548295477057763,-0.0246340452163425
0.15,-0.192311696318437,-0.0146108332113386
0.1625,0.192865861837084,-4.10974297902743e-05
0.175,0.54858475156561,0.0168582294094219
0.1875,0.820688617665792,0.033158086419089
0.2,0.967767485211473,0.0457248141099189
0.2125,0.967461566265812,0.0517909359526888
0.225,0.819864743023865,0.0495097693002099
0.2375,0.547500982605909,0.0383745520236276
0.25,0.191884647523119,0.0194287645804977
0.2625,-0.192808441936622,-0.00479532867882841
0.275,-0.547990739075524,-0.0306078920130836
0.2875,-0.819600692358112,-0.0537250096703681
0.3,-0.966312067183152,-0.0699757915802584
0.3125,-0.965852255030111,-0.0760331471976178
0.325,-0.818360016061533,-0.0700511040246329
0.3375,-0.546357139567447,-0.0520900070291646
0.35,-0.191333102031021,-0.0242342845327702
0.3625,0.192630604260845,0.00962677644738061
0.375,0.547046410529462,0.0443369482502389
0.3875,0.817985016836934,0.0742607950858083
0.4,0.964240482197092,0.0941840230850909
0.4125,0.963626040001928,0.100226442760857
0.425,0.816327837303173,0.090547865330145
0.4375,0.544869221282795,0.0657733191973861
0.45,0.190650684102188,0.029023213940923
0.4625,-0.192320158118894,-0.014454069424831
0.475,-0.545754812330777,-0.0580411175056691
0.4875,-0.815847010020088,-0.0947451045769801
0.5,-0.961551803351632,-0.118330549863346
0.5125,-0.960785026172125,-0.124355115961196
0.525,-0.813776392132066,-0.110985480406573
0.5375,-0.543034276916325,-0.0794132832417744
0.55,-0.189861788765441,-0.0337947173649115
0.5625,0.191898262425783,0.019272540337465
0.575,0.544111494697523,0.0717060820494015
0.5875,0.81319246613961,0.115170406546904
0.6,0.958255261854882,0.142399568183075
0.6125,0.957335608989318,0.148402489053934
0.625,0.810717469195074,0.131354027929401
0.6375,0.540851658449916,0.0930004951954158
0.65,0.188952610448421,0.0385425121089126
0.6625,-0.191350989666535,-0.0240783078158344
0.675,-0.542125147363549,-0.0853236385973439
0.6875,-0.810025419481864,-0.13551964897846
0.7,-0.954355791692955,-0.16637792909541
0.7125,-0.953287543941189,-0.172357045962872
0.725,-0.807145354134427,-0.151636081435754
0.7375,-0.538337314122221,-0.106531698595301
0.75,-0.187918451078628,-0.0432678835204253
0.7625,0.19067818773376,0.0288655142424475
0.775,0.53980723184615,0.0988887578774232
0.7875,0.806345651330999,0.155785216376926
0.8,0.949857593487504,0.190253221215545
0.812500000000001,0.948638293709547,0.196204526164514
0.825000000000001,0.803064995913911,0.171826250108961
0.837500000000001,0.535480520933109,0.119997106862127
0.850000000000001,0.18676507066374,0.0479663889670318
0.862500000000001,-0.189888413058833,-0.0336371683436552
0.875000000000001,-0.537137615338357,-0.112391066288333
0.887500000000001,-0.802165493282133,-0.17595518417787
0.900000000000001,-0.944757360651974,-0.214010853545797
0.912500000000001,-0.943388525271735,-0.219929291925004
0.925000000000001,-0.798475713428349,-0.191909570361324
0.937500000000001,-0.532277480603711,-0.133384677077446
0.950000000000001,-0.185501315286608,-0.0526388253248427
0.962500000000001,0.18898614862748,0.0383896817722236
0.975000000000001,0.534129976395629,0.125825215635566
0.987500000000001,0.797471777985159,0.196014635445145
1,0.93905513269239,0.237632832089514
1.0125,0.937536030463241,0.243515712161981
1.025,0.793375353586805,0.211871558407398
1.0375,0.528742210567132,0.146690107197403
1.05,0.184107102268068,0.0572694370178292
1.0625,-0.187955592719667,-0.0431157548722876
1.075,-0.53078583962172,-0.139179348970633
1.0875,-0.792265355341217,-0.215947764170065
1.1,-0.932753910299058,-0.261103947079175
1.1125,-0.931085562753298,-0.266945887722794
1.125,-0.78776823101772,-0.231695160980722
1.1375,-0.524866869054821,-0.15990140770102
1.15,-0.182600875482008,-0.0618671425573508
1.1625,0.186805593087981,0.047814527008606
1.175,0.527100412088441,0.152444023249078
1.1875,0.78655588405759,0.235743881981237
1.2,0.925859650171427,0.284407167030788
1.2125,0.924044416273071,0.290205459077879
1.225,0.781665989575573,0.251372851497443
1.2375,0.52066091983612,0.173008291572542
1.25,0.180982039428141,0.0664251900121727
1.2625,-0.185541986123823,-0.0524851677613481
1.275,-0.523076177006269,-0.165607179977237
1.2875,-0.780353617290173,-0.255390261514847
1.3,-0.918381585771558,-0.307529183270525
