"Time [ms]","InducedVoltage(Cos_Winding) [V]","InducedVoltage(Sin_Winding) [V]"
0,0.00179817008873517,1.11214576035324
0.0125,-0.00329948524796003,0.965180432695343
0.025,-0.00839714058465524,0.818215105037448
0.0375,-0.0109032162810256,0.546662771643022
0.05,-0.00978264911031956,0.191894558622035
0.0625,-0.0048497136031211,-0.192075772817522
0.075,0.00313683906536928,-0.546762386608203
0.0875,0.0126127259551707,-0.81816180997387
0.1,0.0214826398367594,-0.964952899732095
0.1125,0.0275428119682137,-0.964800685197827
0.125,0.028948127737329,-0.817747979480833
0.1375,0.024631573069848,-0.54622685340976
0.15,0.0145987810149015,-0.191586485357756
0.1625,2.71289208699257e-05,0.192137391778221
0.175,-0.016871011849935,0.546515779002665
0.1875,-0.0331610359498966,0.817592557139307
0.2,-0.0457163749428335,0.964116276660522
0.2125,-0.0517711884006426,0.963811313131716
0.225,-0.0494828450179638,0.816772253718861
0.2375,-0.0383469499632528,0.545435827327672
0.25,-0.0194077526317363,0.191160820304724
0.2625,0.0048015503435159,-0.192080342269677
0.275,0.030593957139327,-0.54592358113901
0.2875,0.0536906073396116,-0.816509338175985
0.3,0.0699226212781315,-0.962666954032066
0.3125,0.0759690320538353,-0.962210133260206
0.325,0.0699863288763242,-0.815273774590615
0.3375,0.0520372275293745,-0.544298682134067
0.35,0.0242048825148871,-0.190611941287423
0.3625,-0.00962405558677507,0.191904518056594
0.375,-0.0442983273837065,0.544982897021739
0.3875,-0.0741884987708209,0.814900617254117
0.4,-0.0940865893200594,0.960606500073947
0.4125,-0.100118183753282,0.95999538683863
0.425,-0.0904458397229573,0.813253217848241
0.4375,-0.0656957052380557,0.542816877662006
0.45,-0.028985169189765,0.189933924043967
0.4625,0.0144431245195189,-0.19159411801881
0.475,0.0579775558158536,-0.543698138496167
0.4875,0.0946349940383063,-0.812774887967946
0.5,0.118189223675338,-0.957932263036503
0.5125,0.124202910425893,-0.957169604180346
0.525,0.110846327597003,-0.81071502595525
0.5375,0.0793101424461957,-0.540992421028655
0.55,0.0337476461657712,-0.189150082109034
0.5625,-0.0192521084137845,0.19117487211861
0.575,-0.0716175948317091,0.54206451884268
0.5875,-0.115023316359561,0.810134438383969
