"Time [ms]","InducedVoltage(Cos_Winding) [V]","InducedVoltage(Sin_Winding) [V]"
0,-1.11240167461395,0.00179906849913109
0.0125,-0.965402530308343,-0.00329756311917641
0.025,-0.818403386002733,-0.0083941947374839
0.0375,-0.54678857162681,-0.0109000031913456
0.05,-0.191938711153443,-0.00978012042094373
0.0625,0.192119977141142,-0.00484880074501143
0.075,0.546888203135562,0.00313545130596162
0.0875,0.818350076501452,0.0126087881815316
0.1,0.965174943447861,0.0214764427556655
0.1125,0.965022694527276,0.0275351901725213
0.125,0.817936153803121,0.0289403514152752
0.1375,0.546352539918748,0.0246251332253895
0.15,0.191630567190867,0.014595120459727
0.1625,-0.192181608348845,2.73455910130058e-05
0.175,-0.546641537556881,-0.0168663909266411
0.1875,-0.817780688674141,-0.0331522679207166
0.2,-0.964338121996132,-0.0457044820465982
0.2125,-0.964033088577692,-0.0517578732594645
0.225,-0.816960190568776,-0.0494702425422799
0.2375,-0.545561329643826,-0.0383372886960941
0.25,-0.191204804266138,-0.0194029638231268
0.2625,0.192124543701154,0.00480019357779606
0.275,0.546049198290964,0.0305861163424986
0.2875,0.816697212946914,0.0536770162205455
0.3,0.962888459250374,0.0699050422661255
0.3125,0.962431528041463,0.075950032862355
0.325,0.815461360047464,0.0699689108020064
0.3375,0.544423914778723,0.052024350970163
0.35,0.190655797353277,0.0241989678553882
0.3625,-0.191948671240844,-0.00962156620486605
0.375,-0.545108294972003,-0.0442872672165347
0.3875,-0.815088118038282,-0.0741700944632521
0.4,-0.960827517101743,-0.0940633346909834
0.4125,-0.960216260352885,-0.100093512312867
0.425,-0.813440325700638,-0.0904236155215868
0.4375,-0.542941765804575,-0.0656796187747101
0.45,-0.189977624799189,-0.0289781305409245
0.4625,0.191638207971245,0.0144395022939898
0.475,0.543823233973284,0.0579632838168604
0.4875,0.812961882814232,0.094611784824164
0.5,0.958152653025765,0.118160306359498
0.5125,0.957389812256486,0.124172578802507
0.525,0.810901541477903,0.110819308334067
0.5375,0.541116876978432,0.0792908561601512
0.55,0.189193588234991,0.0337394869290549
0.5625,-0.191218857726814,-0.0192473568894276
0.575,-0.542189227019106,-0.071600117042891
0.5875,-0.810320814048133,-0.114995315378752
0.6,-0.95487292128234,-0.142179441058808
0.6125,-0.953957622836284,-0.148170156483881
0.625,-0.807858182321823,-0.131145670754401
0.6375,-0.538945853364629,-0.0928504137677413
