"Time [ms]","InducedVoltage(Cos_Winding) [V]","InducedVoltage(Sin_Winding) [V]"
0,0.00179217908186022,1.11626925039141
0.0125,-0.00331469630979637,0.968759492004441
0.025,-0.00842157170145296,0.821249733617468
0.0375,-0.0109308083329339,0.548690530524125
0.05,-0.0098040551479556,0.192605856142577
0.0625,-0.00485856855421501,-0.192788298691795
0.075,0.00314816286276119,-0.548789926142496
0.0875,0.0126460890836774,-0.821196030079173
0.1,0.0215354481284174,-0.968531358511952
0.1125,0.0276082603192971,-0.968378895922915
0.125,0.0290152536960262,-0.820780518495484
0.1375,0.0246873016355672,-0.548252768685871
0.15,0.0146308710517229,-0.192296472456143
0.1625,2.43122848354269e-05,0.192850985145629
0.175,-0.0169097294054402,0.548541873646766
0.1875,-0.0332369557344867,0.820624323593512
0.2,-0.045819313875631,0.96769147431248
0.2125,-0.0518867350227806,0.967385424234413
0.225,-0.0495922710465852,0.81980031389967
0.2375,-0.0384308376607224,0.547457856284035
0.25,-0.0194498318295119,0.191869485226937
0.2625,0.00481316416879746,-0.192793297541342
0.275,0.0306624830682588,-0.547947741974089
0.2875,0.0538084344304885,-0.819536280682736
0.3,0.0700755939774562,-0.966235760583073
0.3125,0.076134333469097,-0.965776230546868
0.325,0.0701381135962105,-0.818295604636352
0.3375,0.052149331868573,-0.546314289804637
0.35,0.0242564359080285,-0.191318138348651
0.3625,-0.00964569766370318,0.192615756594462
0.375,-0.0443945767883815,0.547002990491146
0.3875,-0.0743487381439038,0.817920615410528
0.4,-0.09428920233249,0.964164901976896
0.4125,-0.100332955045612,0.963550632815292
0.425,-0.0906393967977267,0.816264095765645
0.4375,-0.0658356505506455,0.544826604926085
0.45,-0.0290463402822472,0.19063547686096
0.4625,0.0144740300814865,-0.192304351830623
0.475,0.0581017004589783,-0.545712008679435
0.4875,0.094837549187834,-0.815783409909225
0.5,0.118441063091861,-0.961477041079382
0.5125,0.124466985840001,-0.960710447014052
0.525,0.111081501311998,-0.813713013430896
0.5375,0.0794786515542082,-0.542992519769777
0.55,0.0338191091997019,-0.189847539860544
0.5625,-0.0192935169345881,0.19188322513652
0.575,-0.0717697185352496,0.544069320064354
0.5875,-0.115267433719238,0.813129612533572
0.6,-0.142515578859324,0.958181363470037
0.6125,-0.148519813128956,0.957261626699257
0.625,-0.131454931662358,0.810655239723753
0.6375,-0.0930691970702126,0.540810081694226
0.65,-0.0385679952221268,0.188938045173167
0.6625,0.0241003022970781,-0.191336270192244
0.675,0.0853904552668363,-0.542083488248468
0.6875,0.135621570986181,-0.809963184899368
0.7,0.166499608731158,-0.954282051070749
0.7125,0.172480220881083,-0.953214082446215
0.725,0.151741798056068,-0.807083048834336
0.7375,0.106603553534043,-0.538295691828461
0.75,0.0432945569476894,-0.187903914403953
0.7625,-0.0288887960789598,0.190663700218803
0.775,-0.0989589739374841,0.539765908295274
0.7875,-0.155891765495826,0.806282888399211
0.8,-0.190380594104424,0.949784241721536
0.812500000000001,-0.196333321863752,0.948565135479913
0.825000000000001,-0.171936759108413,0.803003112301491
0.837500000000001,-0.120072119915953,0.535439209887262
0.850000000000001,-0.0479938917066661,0.186750323088958
0.862500000000001,0.0336614700282407,-0.189873391815713
0.875000000000001,0.112464168277365,-0.537095919876823
0.887500000000001,0.176066627543986,-0.802103735070152
0.900000000000001,0.21414382699887,-0.944684735105104
0.912500000000001,0.220063686890267,-0.943316171456091
0.925000000000001,0.192024723393823,-0.798414518140283
0.937500000000001,0.133462603949809,-0.532236287282245
0.950000000000001,0.0526678474752654,-0.185487694484539
0.962500000000001,-0.0384150631645673,0.188971462072074
0.975000000000001,-0.125901638315964,0.534088979056813
0.987500000000001,-0.196130785471685,0.797410774050732
1,-0.237771375011536,0.938983457293757
1.0125,-0.243655590751757,0.93746448992705
1.025,-0.211991415976152,0.793315106079463
1.0375,-0.146771522974781,0.528702531255647
1.05,-0.0572993293126871,0.184093335563068
1.0625,0.0431423961069248,-0.187941246170627
1.075,0.139258851142332,-0.530745397703233
1.0875,0.216068641844897,-0.792205423193247
1.1,0.261247970231923,-0.932683396852783
1.1125,0.267091244095202,-0.93101536487367
1.125,0.231819747657361,-0.787709267857668
1.1375,0.159985751347695,-0.524827648506701
1.15,0.0618982473852542,-0.182587643405694
1.1625,-0.0478422478866793,0.186791509495181
1.175,-0.152526843388591,0.527061137339828
1.1875,-0.23586929533516,0.786496767568945
1.2,-0.284556604185561,0.925790511334996
1.2125,-0.29035635470246,0.923975820916991
1.225,-0.251502045124662,0.78160824625037
1.2375,-0.173095932427207,0.520622836156313
1.25,-0.0664571432202987,0.180968794872427
1.2625,0.0525141576437747,-0.18552841469703
1.275,0.165692637558416,-0.523036930302167
1.2875,0.255520374134638,-0.780296100134567
1.3,0.307684306502697,-0.918314254141481
1.3125,0.313435927467593,-0.916355384992075
1.325,0.271023799632668,-0.775014514764107
1.3375,0.186099474691312,-0.516092440471634
1.35,0.0709763348890871,-0.179236067541467
1.3625,-0.0571484382085045,0.184136874638787
1.375,-0.178760715609476,0.518693933382312
1.3875,-0.275008086841226,0.773603037418817
1.4,-0.330618296386361,0.910264563406988
1.4125,-0.336320470033226,0.908162485759819
1.425,-0.290375527937626,0.767929445369195
1.4375,-0.198986394086525,0.511241819447809
1.45,-0.0754492634135586,0.177390578955478
1.4625,0.0617479266721488,-0.182639913097135
1.475,0.191712479847178,-0.514020408179425
1.4875,0.294324701813615,-0.766423045820035
1.5,0.353346547555497,-0.90164096349323
1.5125,0.358993976203968,-0.899394852463106
1.525,0.309549374760611,-0.760371140362153
1.5375,0.211746610111039,-0.506057541103966
1.55,0.0798758731147147,-0.175433029777381
1.5625,-0.0663098536303272,0.181025014481767
1.575,-0.204547625316685,0.509027355944071
