"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,554.643860562189,-964.743974770089
0.0125,485.559536162926,-834.827734938009
0.025,416.475211763663,-704.911495105928
0.0375,282.838309032067,-468.31698077829
0.05,104.442645688599,-161.41600748569
0.0625,-91.8595116296937,168.887370078843
0.075,-276.161312044403,472.285504592371
0.0875,-420.09987175309,702.758054382322
0.1,-501.195007812249,825.541290222202
0.1125,-506.367872768375,822.380121692726
0.125,-434.041743431041,694.233963436457
0.1375,-294.511030335346,461.076968676568
0.15,-108.460013945561,158.741745613215
0.1625,96.0674350043624,-166.530017205584
0.175,287.933759404797,-465.206514038962
0.1875,437.612979707775,-691.993416497349
0.2,521.766486956172,-812.702852645647
0.2125,526.858304400552,-809.412093203934
0.225,451.339724818221,-683.124144475299
0.2375,305.99487416784,-453.535966442728
0.25,112.412383405475,-155.969274272152
0.2625,-100.221206641955,164.066812620505
0.275,-299.523613028423,457.833861524454
0.2875,-454.852755375776,680.793115102853
0.3,-542.007712386815,799.347690083691
0.3125,-547.016305842553,795.929696168441
0.325,-468.349281086538,671.577456772596
0.3375,-317.283939353025,445.707961125513
0.35,-116.292906967992,153.096131248529
0.3625,104.310240699598,-161.503837918784
0.375,310.923100686785,-450.168854422212
0.3875,471.80234141668,-669.153821267727
0.4,561.906751087852,-785.484732642967
0.4125,566.82537516599,-781.940607226598
0.425,485.059721401108,-659.600903238792
0.4375,328.37312660457,-437.597558153254
0.45,120.0942692163,-150.119628366359
0.4625,-108.32896812387,158.826166390797
0.475,-322.128807734991,442.218623433218
0.4875,-488.44893996525,657.092729599423
0.5,-581.445777251106,771.121178466669
0.5125,-586.273096077344,767.454793755893
0.525,-501.46015362952,647.205722373572
0.5375,-339.252799939609,429.212440619514
0.55,-123.827248381509,147.060300745893
0.5625,112.284646072598,-156.059319133385
0.575,333.126106237165,-433.985976267111
0.5875,504.787676754747,-644.615070739817
0.6,600.614869649695,-756.272892261069
0.6125,605.347252792864,-752.4852882733
0.625,517.548165037929,-634.408354031544
0.6375,349.914543906089,-420.553516805143
0.65,127.478632385848,-143.906548472758
0.6625,-116.167134754156,153.189767103699
0.675,-343.911136790866,425.480925715395
0.6875,-520.805208274089,631.733867546238
0.7,-619.405115033883,740.949148087234
0.7125,-624.043086047444,737.04572413307
0.725,-533.305397015598,621.210953630297
0.7375,-360.361265766715,411.635040641604
0.75,-131.050028759907,140.658391214383
0.7625,119.972249930217,-150.222917179838
0.775,354.485130288467,-416.714610311174
0.7875,536.494320789174,-618.451662700942
0.8,637.80807731228,-725.160920295887
0.812500000000001,642.346684332613,-721.14095040599
0.825000000000001,548.730454604292,-607.621416354844
0.837500000000001,370.580900005924,-402.454821569381
0.850000000000001,134.537247412735,-137.32006629466
0.862500000000001,-123.703765317953,147.160968551078
0.875000000000001,-364.829320290488,407.677330188844
0.887500000000001,-551.852287194533,604.786100125587
0.900000000000001,-655.809914326411,708.912856590566
0.912500000000001,-660.245732697192,704.780492933035
0.925000000000001,-563.809399973264,593.646259476896
0.937500000000001,-380.561202061428,393.015787772227
0.950000000000001,-137.949306832852,133.900412508396
0.962500000000001,127.362860643121,-144.01135848864
0.975000000000001,374.948400037506,-398.384165103196
0.987500000000001,566.859028534156,-590.73324202719
1,673.395353123674,-692.214187903042
1.0125,677.725314576732,-687.969708388343
1.025,578.530301811204,-579.29257560308
1.0375,390.306939479651,-383.332486163319
1.05,141.258881914362,-130.389078896455
1.0625,-130.936925762385,140.76635003859
1.075,-384.829330795979,388.839371152202
1.0875,-581.502721748449,576.303342081668
1.1,-690.552460288192,675.074786570282
1.1125,-694.773139381396,670.722899302285
1.125,-592.880015517524,564.572229119755
1.1375,-399.800054812058,373.401232564309
1.15,-144.484831192439,126.798062619655
1.1625,134.427330744043,-137.431262280148
1.175,394.464510575408,-379.046809917586
1.1875,595.776822394463,-561.507369743028
1.2,707.269378003523,-657.508982457654
1.2125,711.379368640185,-653.052545314433
1.225,606.855964224217,-549.497065578192
1.2375,409.03959013932,-363.239061387246
1.25,147.61884463871,-123.127937291639
1.2625,-137.836282241013,134.011531235008
1.275,-403.84240476527,369.012515587436
1.2875,-609.675963778868,546.361861092128
1.3,-723.53911771052,639.530702408378
1.3125,-727.535576438134,634.973733982374
1.325,-620.44783983591,534.077587595245
1.3375,-418.023948359464,352.848277590575
1.35,-150.662273830398,119.380810502517
1.3625,141.150046944566,-130.501681291215
