"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,-552.98032964299,962.485940224794
0.0125,-484.111361686767,832.869959537337
0.025,-415.242393730544,703.25397884988
0.0375,-282.010347487807,467.212013987029
0.05,-104.145839481592,161.030007466265
0.0625,91.5755942130057,-168.494850494622
0.075,275.340001289499,-471.177027196441
0.0875,418.863588999179,-701.102573357036
0.1,499.73075847658,-823.591509759148
0.1125,504.898483029127,-820.433168160274
0.125,432.791490188244,-692.586507415521
0.1375,293.67109896898,-459.978529094711
0.15,108.160536026289,-158.359318414769
0.1625,-95.7814303033974,166.141043180302
0.175,-287.099024908767,464.103375109743
0.1875,-436.359357200963,690.347961172428
0.2,-520.281796392078,810.765144590475
0.2125,-525.368722541845,807.477693611
0.225,-450.072570729632,681.487476351443
0.2375,-305.143729641563,452.445158151775
0.25,-112.109151643931,155.589663293547
0.2625,99.9291748832342,-163.67900241629
0.275,298.679675302037,-456.739342981967
0.2875,453.581635934048,-679.158143941202
0.3,540.503689078125,-797.423503004422
0.3125,545.507644133412,-794.009165820855
0.325,467.066015501106,-669.952397241216
0.3375,316.422716638254,-444.625824372414
0.35,115.98584121678,-152.719388645398
0.3625,-104.014154936439,161.118542811457
0.375,-310.067686426096,449.081421215728
0.3875,-470.515806134722,667.531300578484
0.4,-560.384570631504,783.575512410291
0.4125,-565.298643424954,780.035141631698
0.425,-483.761485474668,657.989352479369
0.4375,-327.501705078384,436.523772517243
0.45,-119.784443259769,149.746740599333
0.4625,108.029280638565,-158.443184662163
0.475,321.262905999509,-441.139690210464
0.4875,487.148078782591,-655.48423276294
0.5,579.906012501479,-769.227900495787
0.5125,584.729106255157,-765.565788454483
0.525,500.14746050074,-645.60818947635
0.5375,338.37203772765,-428.148918416159
0.55,123.514174754035,-146.69161194417
0.5625,-111.981304009719,155.679521138547
0.575,-332.250619740233,432.916767717538
0.5875,-503.472129943027,643.020779903526
0.6,-599.058726230174,754.397440434531
0.6125,-603.786899477274,750.614327066062
0.625,-516.221585113662,632.826543692699
0.6375,-349.02502371783,419.501090809361
0.65,-127.162214291427,143.541340434403
0.6625,115.86012765366,-152.813014857814
0.675,343.026570890498,-424.422316667663
0.6875,519.476075540392,-630.155521405148
0.7,617.832949247069,-739.092449938834
0.7125,622.467131078274,-735.19424766779
0.725,531.965823164455,-619.645701345486
0.7375,359.462840740586,-410.593397955066
0.75,130.730988985296,-140.297811861706
0.7625,-119.662334879938,149.850326131402
0.775,-353.591396333362,415.666646976406
0.7875,-535.152189055306,616.889823210639
0.8,-636.22086443223,723.324363379026
0.812500000000001,-640.75581648054,719.30985160068
0.825000000000001,-547.378647088693,606.074023513749
0.837500000000001,-369.674407799294,401.425120083625
0.850000000000001,-134.215471649328,136.96357051488
0.862500000000001,123.390543785486,-146.791691854048
0.875000000000001,363.927172399898,-406.640749613193
0.887500000000001,550.49794112798,-603.242345369133
0.900000000000001,654.208686478921,-707.097779706311
0.912500000000001,658.641181656315,-702.971119393407
0.925000000000001,562.445825897998,-592.117306634964
0.937500000000001,379.647473965037,-391.998848821854
0.950000000000001,137.625270449864,-133.548915068171
0.962500000000001,-127.046283821846,143.645904917523
0.975000000000001,-374.038890371698,397.360431603454
0.987500000000001,-565.493335395617,589.208133827208
1,-671.781243154026,690.421720400116
1.0125,-676.108037975013,686.182849728003
1.025,-577.156488007123,577.783215790207
1.0375,-389.386632516877,382.329567778498
1.05,-140.932749766544,130.042614751801
1.0625,130.617977878523,-140.405654678836
1.075,383.9124971456,-387.828340830748
1.0875,580.12703486902,-574.798410547576
1.1,688.926399187779,-673.305842782589
1.1125,693.144208256443,-668.960003759038
1.125,591.496606616115,-563.083606129363
1.1375,398.873113980014,-372.411713362663
1.15,144.156768507395,-126.456988115575
1.1625,-134.105948603641,137.07508390953
1.175,-393.541274269629,378.049657948702
1.1875,-594.391376950534,560.022860252624
1.2,-705.63209835094,655.764710045343
1.2125,-709.739529460416,651.31478625823
1.225,-605.463252369677,548.0297592455
1.2375,-408.106885927128,362.264558414019
1.25,-147.288480244125,122.791849248774
1.2625,137.512355230666,-133.659857549682
1.275,402.91291625855,-368.029480421805
1.2875,608.281348414425,-544.899015030863
1.3,721.891528950777,-637.812600910245
1.3125,725.885531420865,-633.262262938439
1.325,619.046770757435,-532.63274848533
