"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,967.534573203327,556.033706797065
0.0125,837.246533751572,486.770205616293
0.025,706.958494299818,417.50670443552
0.0375,469.680908076116,283.532070844155
0.05,161.891046448801,104.691613226224
0.0625,-169.373167466332,-92.0958663468034
0.075,-473.654895930275,-276.848100088816
0.0875,-704.801751235773,-421.134889859923
0.1,-827.947168915354,-502.421738420262
0.1125,-824.781724444518,-507.600013910164
0.125,-696.265350923413,-435.091101485853
0.1375,-462.430629727881,-295.216711590638
0.15,-159.212048219174,-108.71249633896
0.1625,167.011506780878,96.3074432647508
0.175,466.566447530437,288.63308773108
0.1875,694.021539860352,438.665674643688
0.2,815.090260115865,523.014118281291
0.2125,811.794604807296,528.111113650324
0.225,685.138826342504,452.40599974366
0.2375,454.877850071686,306.711850679883
0.25,156.435315920024,112.668945985417
0.2625,-164.54572389504,-100.466125645413
0.275,-459.181794197273,-300.233769987336
0.2875,-682.804611023215,-455.922822528522
0.3,-801.71446896639,-543.275192541934
0.3125,-798.290535667914,-548.28817736517
0.325,-673.574160134015,-469.43210829492
0.3375,-447.0361164298,-318.010862378523
0.35,-153.557510969678,-116.553044241167
0.3625,161.978298858022,104.559035608152
0.375,451.505324925455,311.644698819821
0.3875,671.14665514172,472.888336616421
0.4,787.828045216114,563.192121879516
0.4125,784.277711402709,568.115108192919
0.425,661.576293275273,486.156892151406
0.4375,438.912688549562,329.110266607694
0.45,150.574586385939,120.356891013689
0.4625,-159.297108158337,-108.581503425235
0.475,-443.541696080255,-322.860624368626
0.4875,-659.063421886355,-489.548985238463
0.5,-773.439054396565,-582.748045621635
0.5125,-769.765939820961,-587.579405393788
0.525,-649.158866379119,-502.571305410034
0.5375,-430.511592824023,-339.999053527516
0.55,-147.509120951623,-124.092869018744
0.5625,156.525279421521,112.540895663925
0.575,435.293637997064,333.86690278287
0.5875,646.563309211781,505.901679383655
0.6,758.563294254258,601.933156206114
0.6125,754.768862566182,606.669563129141
0.625,636.337868601619,518.67286693267
0.6375,421.836118018425,350.669028381849
0.65,144.350723495067,127.747869652608
0.6625,-153.650899525199,-116.426968753498
0.675,-426.772627689248,-344.660722649949
0.6875,-633.658322984184,-521.932455205643
0.7,-743.211723353721,-620.739182219298
0.7125,-739.301015911146,-625.380767347203
0.725,-623.11615291736,-534.44306454223
0.7375,-412.901799961614,-361.124875648316
0.75,-141.095950286561,-131.321628386383
0.7625,150.677652955487,120.234439186829
0.775,417.991284360745,355.243899828751
0.7875,620.351628800007,537.634696504926
0.8,727.3943538315,639.157301136233
0.812500000000001,723.366887029144,643.699473200647
0.825000000000001,609.50118627074,549.880387044804
0.837500000000001,403.704503930082,371.352814962672
0.850000000000001,137.75127192925,134.812148704984
0.862500000000001,-147.61067249042,-123.969693850912
0.875000000000001,-408.93709914893,-365.597004776432
0.887500000000001,-606.660654574501,-553.004911701441
0.900000000000001,-711.115423779218,-657.173214360379
0.912500000000001,-706.975068985937,-661.612320281878
0.925000000000001,-595.499716492209,-564.971478300445
0.937500000000001,-394.246779907993,-381.34041778577
0.950000000000001,-134.324685267245,-138.225739341619
0.962500000000001,144.4560627944,127.632491344653
0.975000000000001,399.625241162923,375.72294053487
0.987500000000001,592.580909937543,568.023103578183
1,694.384037591383,674.771421028252
1.0125,690.131524159615,679.104661995439
1.025,581.117412902237,579.702321945286
1.0375,384.543378951578,391.091919848958
1.05,130.805730105069,141.537508018592
1.0625,-141.204084283565,-131.20846410254
1.075,-390.062249086039,-385.611462036569
1.0875,-578.121396472971,-582.676316787986
1.1,-677.210317068683,-691.940169697
1.1125,-672.84940396191,-696.163597720244
1.125,-566.366206647748,-594.060832418946
1.1375,-374.592553834586,-400.591834877686
1.15,-127.206717062124,-144.764953888242
1.1625,137.862301107385,134.701264950553
1.175,380.249289274531,395.25249460047
1.1875,563.295330151227,596.959756785716
1.2,659.607961765343,708.667703383679
1.2125,655.141935622261,712.780081633625
1.225,551.259792638228,608.045824763086
1.2375,364.408306249646,409.836501572975
1.25,123.529872400547,147.901816724137
1.2625,-134.436399276544,-138.113170513685
1.275,-370.193843468718,-404.636196505463
1.2875,-548.118148965663,-610.867766660387
1.3,-641.591515950887,-724.947091868405
1.3125,-637.024958927023,-728.945855712062
1.325,-535.807851462205,-621.645658616517
1.3375,-353.996266004846,-418.826496297973
1.35,-119.774931169231,-150.947529691035
1.3625,130.91860943919,141.428476032392
1.375,359.911576280091,413.775722331878
1.3875,532.597375718876,624.388665176509
1.4,623.17644687769,740.772677630818
1.4125,618.510902993991,744.657280145213
1.425,520.016172132136,634.853276488347
1.4375,343.366025142995,427.555807221317
1.45,115.945090615215,153.896271288271
1.4625,-127.326799455389,-144.660254310797
1.475,-349.401691371641,-422.649613979755
1.4875,-516.741438953251,-637.518843335843
1.5,-604.368261812642,-756.133924406899
1.5125,-599.605483764895,-759.899188297969
1.525,-503.904547556281,-647.670884826429
1.5375,-332.510140551118,-436.008739525246
1.55,-112.041376658902,-156.749019281689
1.5625,123.652152889241,147.801753603775
1.575,338.673413184272,431.26181827783
1.5875,500.559971436479,650.249058401962
1.6,585.176011729533,771.015202538354
1.6125,580.319505298139,774.660919376551
1.625,487.46945396133,660.072733982661
1.6375,321.446315886369,444.186781869878
1.65,108.06435953141,159.499112831206
1.6625,-119.900001659651,-150.848632512324
1.675,-327.730214879601,-439.598998851239
1.6875,-484.057391906952,-662.563228558459
1.7,-565.612026894537,-785.408689064225
1.7125,-560.665130555572,-788.929093371705
1.725,-470.722454787171,-672.051401079501
1.7375,-310.180108732581,-452.086389053552
1.75,-104.014787671476,-162.142408666057
1.7625,116.067402226037,153.798882780826
1.775,316.574700088796,447.654171968262
1.7875,467.251616193797,674.457652749883
1.8,545.688763902129,799.29858559841
1.8125,540.656077604058,802.695011395258
1.825,453.679682973704,683.603985692594
1.8375,298.717428091595,459.69338201646
1.85,99.9107461218936,164.697142322175
1.8625,-112.168306767764,-156.657699505198
1.875,-305.220591219853,-455.424937947751
1.8875,-450.148888711729,-685.921484360646
1.9,-525.426148708084,-812.685400570881
1.9125,-520.308946853517,-815.950997588581
1.925,-436.354754707251,-694.728277723047
1.9375,-287.068267068706,-467.01002518612
1.95,-95.7435865998831,-167.142973916001
1.9625,108.193973602329,159.412025573946
1.97499999999999,293.678032332817,462.90970893736
1.98749999999999,432.767011615653,696.951430070091
1.99999999999999,504.836538292483,825.559110788496
2.01249999999999,499.638780842156,828.695944807454
2.02499999999999,418.761078046127,705.414750370675
2.03749999999999,275.243270976737,474.038524156363
2.04999999999999,91.5122769179484,169.480365420624
2.06249999999999,-104.152203396219,-162.05984216449
2.07499999999999,-281.956595400679,-470.107237867053
2.08749999999999,-415.115101984887,-707.54747905569
2.09999999999999,-483.931506564959,-837.915026653116
2.11249999999999,-478.655689919602,-840.919690929836
2.12499999999999,-400.901450162163,-715.657572530734
2.13749999999999,-263.246140844102,-480.772003520351
2.14999999999999,-87.2228639776423,-171.712621994691
2.16249999999999,100.047845078035,164.615159296532
2.17499999999999,270.051142230448,477.000764119388
2.18749999999999,397.206023373293,717.701829299768
2.19999999999999,462.721134786562,849.744137247277
2.21249999999999,457.372647438598,852.618157059416
2.22499999999999,382.783458838595,725.438024748116
2.23749999999999,251.08302169994,487.201082611165
2.24999999999999,82.8787786399844,173.840129979202
2.26249999999999,-95.881624491238,-167.068181435099
2.27499999999999,-257.976146630656,-483.596637703731
2.28749999999999,-379.042367327443,-727.398610097869
2.29999999999999,-441.217768682448,-861.033966174347
2.31249999999999,-435.797656818274,-863.771826604882
2.32499999999999,-364.429648910931,-734.772634630945
2.33749999999999,-238.750721725039,-493.302856706829
2.34999999999999,-78.487194818049,-175.857046512756
2.36249999999999,91.6521754345176,169.411042560207
2.37499999999999,245.740460309288,489.889218456062
2.38749999999999,360.637754790384,736.628406711756
2.39999999999999,419.434832252487,871.77569773925
2.41249999999999,413.946686110271,874.372916623742
2.42499999999999,345.846635715589,743.635347746683
2.43749999999999,226.271872326744,499.096858070837
2.44999999999999,74.040887796317,177.756524585713
2.46249999999999,-87.3611775027219,-171.639299349175
2.47499999999999,-233.348660438073,-495.867380981772
2.48749999999999,-342.00728607986,-745.393653702739
2.49999999999999,-397.388958391466,-881.961314031304
2.51249999999999,-391.837828875308,-884.420327378775
2.52499999999999,-327.046580180736,-752.025318485418
2.53749999999999,-213.660636592632,-504.590965265159
2.54999999999999,-69.5422638006797,-179.522350626349
2.56249999999999,83.0133478162652,173.752551116892
2.57499999999999,220.81192977273,501.527621094141
2.58749999999999,323.165206215012,753.688618886748
2.59999999999999,375.096826108585,891.590171695491
2.61249999999999,369.488010524742,893.911073718431
2.62499999999999,308.044647217958,759.939902205387
2.63749999999999,200.914289034632,509.762525418347
2.64999999999999,65.0130777466774,181.213237276771
2.66249999999999,-78.6272722050179,-175.790014834066
2.67499999999999,-208.134769970313,-506.867569866782
2.68749999999999,-304.123747073337,-761.507160536876
2.69999999999999,-352.574235686418,-900.661994438725
2.71249999999999,-346.908678080427,-902.842719123969
2.72499999999999,-288.849190694756,-767.380977238103
2.73749999999999,-188.041544682026,-514.607674351234
2.74999999999999,-60.4415217959919,-182.780472183982
2.76249999999999,74.1885942280841,177.69941338452
2.77499999999999,195.333323694143,511.899488071324
2.78749999999999,284.889872446031,768.845279521409
2.79999999999999,329.82914529599,909.167662978745
2.81249999999999,324.109904155388,911.204799573394
2.82499999999999,269.474055316008,774.340292333243
2.83749999999999,175.04673334571,519.127658154641
2.84999999999999,55.8283256108213,184.229324647088
2.86249999999999,-69.6969956211704,-179.483887080251
2.87499999999999,-182.411727436088,-516.625479857751
2.88749999999999,-265.475062348566,-775.694710524913
2.89999999999999,-306.875233377669,-917.097998323341
2.91249999999999,-301.1052242414,-918.989268660961
2.92499999999999,-249.926973382852,-780.806181760304
2.93749999999999,-161.943813447823,-523.32158681191
2.94999999999999,-51.1787865806659,-185.554474318169
2.96249999999999,65.1644078524324,181.161284413036
2.97499999999999,169.367853451167,520.995185718803
2.98749999999999,245.896458930024,782.071854590755
2.99999999999999,283.726077774718,924.44318790499
3.01249999999999,277.910779201136,926.190038397646
3.02499999999999,230.221265591558,786.771347979501
3.03749999999999,148.737973245657,527.184148841405
3.04999999999999,46.4958573237211,186.763319718052
3.06249999999999,-60.5877326111172,-182.728575754969
3.07499999999999,-156.216484480459,-525.040280602201
3.08749999999999,-226.162003094302,-787.938418914361
3.09999999999999,-260.399655479259,-931.201580756972
3.11249999999999,-254.542102408289,-932.800931571726
3.12499999999999,-210.372170007667,-792.240132500071
3.13749999999999,-135.440594335042,-530.707540767131
3.14999999999999,-41.7892650030643,-187.862212666675
3.16249999999999,55.9777071162369,184.182729233941
3.17499999999999,142.969420274645,528.75241962127
3.18749999999999,206.284836699439,793.301743296753
3.19999999999999,236.912167968102,937.373926445537
3.21249999999999,231.016736869844,938.822663087585
3.22499999999999,190.393576136588,797.211568364081
3.23749999999999,122.058918451316,533.89595412906
3.24999999999999,37.0559735674829,188.83813528106
3.26249999999999,-51.3293036472868,-185.512357076591
3.27499999999999,-129.634881883948,-532.135150844853
3.28749999999999,-186.281976094533,-798.166111389985
3.29999999999999,-213.279043648439,-942.95470265528
3.31249999999999,-207.348996708884,-944.255956328961
3.32499999999999,-170.299189021988,-801.681691676572
3.33749999999999,-108.602741636445,-536.756904479785
3.34999999999999,-32.2985415761722,-189.692643707641
3.36249999999999,46.6523799541909,186.724350478761
3.37499999999999,116.223197738887,535.185588441105
3.38749999999999,166.161392189069,802.532842505138
3.39999999999999,189.51249931057,947.944415874524
3.41249999999999,183.551425403461,949.097811888645
3.42499999999999,150.095237651636,805.647119580868
3.43749999999999,95.0772014566497,539.277721504599
3.44999999999999,27.5187319492018,190.431258811243
3.46249999999999,-41.9447181423248,-187.826697258777
3.47499999999999,-102.73306808728,-537.889906695904
3.48749999999999,-145.939049622204,-806.400003859834
3.49999999999999,-165.625760801233,-952.337305089187
3.51249999999999,-159.636732296698,-953.342509434754
3.52499999999999,-129.796136894902,-809.102631036757
3.53749999999999,-81.4906819459976,-541.455401224551
3.54999999999999,-22.7222937190012,-191.052630295679
3.56249999999999,37.2103839838798,188.809822765269
3.57499999999999,89.180210102722,540.264895720307
3.58749999999999,125.62198035683,809.751523592649
3.59999999999999,141.633270604009,956.126931030571
3.61249999999999,135.620250909419,956.980208552152
3.62499999999999,109.413113371928,812.048089333816
3.63749999999998,67.8534705083562,543.290796718034
3.64999999999998,17.9124709842782,191.542969937328
3.66249999999998,-32.4531998471081,-189.669202844633
3.67499999999998,-75.5694604792258,-542.296999590217
3.68749999999998,-105.22559025083,-812.587507598813
3.69999999999998,-117.551055330887,-959.30835563268
3.71249999999998,-111.518619803384,-960.008760037152
3.72499999999998,-88.965268612413,-814.476891813322
3.73749999999998,-54.1714545092314,-544.778236014119
3.74999999999998,-13.0898582077528,-191.916425168583
3.76249999999998,27.673435557645,190.4105601641
3.77499999999998,61.912088737732,543.979028046375
3.78749999999998,84.7631853069111,814.910975513378
3.79999999999998,93.3964916647431,961.879750433932
3.81249999999998,87.3488598280977,962.430013993557
3.82499999999998,68.460823595682,816.390871244956
3.83749999999998,40.4604525814986,545.925789060035
3.84999999999998,8.26213499230985,192.170523919304
3.86249999999998,-22.8776113840997,-191.032206006638
3.87499999999998,-48.2172797333943,-545.316134307114
3.88749999999998,-64.2503770595054,-816.719914101594
3.89999999999998,-69.18700289874,-963.848944931683
3.91249999999998,-63.1280956430139,-964.247340292124
3.92499999999998,-47.9182651029863,-817.79061831952
3.93749999999998,-26.724260698069,-546.733154558711
3.94999999999998,-3.42720429610014,-192.302888050584
3.96249999999999,18.0670750317954,191.525520488301
3.97499999999999,34.4931188888163,546.318085338273
3.98749999999999,43.7007160341408,818.014491231313
3.99999999999999,44.9369158634886,965.215905291829
4.01249999999999,38.8694251089575,965.462583632502
4.02499999999999,27.3436568833781,818.678821692165
4.03749999999999,12.9722155917843,547.195866417197
4.04999999999999,-1.40616090872668,192.318900025752
4.06249999999999,-13.2492142921816,-191.907119665603
4.07499999999999,-20.7503744401301,-546.973930999887
4.08749999999999,-23.1221611791987,-818.800028683106
