"Time [ms]","InducedVoltage(Cos_Winding) [V]","InducedVoltage(Sin_Winding) [V]"
0,-1.10982723874499,0.00226233639491466
0.0125,-0.963168333162799,-0.00289086505908235
0.025,-0.816509427580606,-0.00804406651307935
0.0375,-0.545523104700209,-0.0106609816354142
0.05,-0.191494564473231,-0.00969062674535576
0.0625,0.191675727633298,-0.00492443835938959
0.075,0.545622574070324,0.00290389718021014
0.0875,0.816456071229384,0.012254654516382
0.1,0.962941058117476,0.0210524266438989
0.1125,0.96278921924158,0.0271053853807221
0.125,0.81604304256636,0.0285706508102709
0.1375,0.545088068740893,0.0243729947571833
0.15,0.19118684153794,0.0145009138576646
0.1625,-0.191736666588409,0.000107699222902341
0.175,-0.545376525724193,-0.016621891071854
0.1875,-0.815887823342621,-0.0327785392224065
0.2,-0.962106157564869,-0.0452572137635611
0.2125,-0.96180194610276,-0.0513047730875516
0.225,-0.815069145388824,-0.0490807214999532
0.2375,-0.544298601230479,-0.0380719459413275
0.25,-0.190762291345764,-0.0193040924243468
0.2625,0.191679959416149,0.00471523496836588
0.275,0.544785043823204,0.0303282141472393
0.2875,0.814806975717037,0.0532836152201516
0.3,0.960660006240761,0.0694344687039127
0.3125,0.960203967022427,0.0754736783108985
0.325,0.813574247357147,0.069559694152772
0.3375,0.543163744723789,0.0517459670086819
0.35,0.190214931195202,0.0240955036068699
0.3625,-0.191504065193049,-0.00953218984455365
0.375,-0.54384646916941,-0.0440162242794031
0.3875,-0.813202139690693,-0.0737568072715986
0.4,-0.958604217375361,-0.0935696217687287
0.4125,-0.957994462657866,-0.0995941120807728
0.425,-0.811558329635242,-0.0899948837955201
0.4375,-0.541686002334946,-0.0653880901134478
0.45,-0.189538117552977,-0.0288701997822517
0.4625,0.191194245686271,0.0143453394541094
0.475,0.542565051437161,0.0576791920167156
0.4875,0.811081161342206,0.0941790713811317
0.5,0.955936454840019,0.117643683062313
0.5125,0.955175481148363,0.12365023953853
0.525,0.809026183751232,0.110371179062774
0.5375,0.539865920773071,0.0789863974479805
0.55,0.188756284236655,0.033627072758889
0.5625,-0.190776349943296,-0.0191486330072328
0.575,-0.540935197290111,-0.0713031040774179
0.5875,-0.808447085310716,-0.114543206649466
0.6,-0.952665238488421,-0.141639945217216
0.6125,-0.951752335252962,-0.147624914809082
0.625,-0.805991002559001,-0.13067819928791
0.6375,-0.537700257320292,-0.092533078118147
0.65,-0.187852403937991,-0.0383603402492166
0.6625,0.190233167965821,0.0239399197774656
0.675,0.53896428649369,0.0848793984298182
0.6875,0.805304122049429,0.13483116058509
0.7,0.948794423676391,0.165546053870879
0.7125,0.947734475921278,0.171507129581143
0.725,0.802444822496104,0.150898919862434
0.7375,0.535203491053299,0.106023386626703
0.75,0.186826378300146,0.0430717340740119
0.7625,-0.189566566500004,-0.0287129999404252
0.775,-0.536662823172328,-0.0984035650455104
0.7875,-0.801650660731831,-0.155035441874753
0.8,-0.944329118483727,-0.189349163481804
0.812500000000001,-0.943119009240054,-0.195282488155465
0.825000000000001,-0.798394375925395,-0.171028001747952
0.837500000000001,-0.532367332081801,-0.119447887973063
0.850000000000001,-0.185680822421451,-0.0477555442853758
0.862500000000001,0.188781704766854,0.0334700263312076
0.875000000000001,0.534012174980509,0.111864666407972
0.887500000000001,0.797501332180119,0.175144346574383
0.900000000000001,0.93926632884702,0.213034883102788
0.912500000000001,0.937907683508626,0.218935525521865
0.925000000000001,0.79383852309135,0.191050491331493
0.937500000000001,0.529187864072062,0.132794729646126
0.950000000000001,0.184427129063924,0.0524145751940361
0.962500000000001,-0.187885405375071,-0.0382078500173926
0.975000000000001,-0.531027567296344,-0.125258598482183
0.987500000000001,-0.792841860802261,-0.195143165955508
1,-0.933606367366096,-0.236585707495466
1.0125,-0.932098140704636,-0.242450867515918
1.025,-0.78877617671902,-0.210952487557812
1.0375,-0.525680396702389,-0.146060783368282
1.05,-0.183043423414293,-0.0570311946659963
1.0625,0.186863298287208,0.0429199208658001
1.075,0.527707646243488,0.138572365039046
1.0875,0.78767511397173,0.215016629300659
1.1,0.927352080126247,0.259986418214525
