"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,-964.297063997377,558.336557402982
0.0125,-839.30077122956,480.34358397736
0.025,-714.304478461742,402.350610551738
0.0375,-479.886293266353,264.230493215245
0.05,-171.433497344138,87.592446526352
0.0625,164.270650888754,-100.36182159958
0.075,476.087337416282,-271.009947465206
0.0875,716.367072571532,-398.671170688523
0.1,848.199980423606,-464.47419505972
0.1125,851.099803576226,-459.146884379845
0.125,724.180360963583,-384.309456238126
0.1375,486.376171759668,-252.117139777815
0.15,173.575457674034,-83.2651863010525
0.1625,-166.736094026567,96.2141512506674
0.175,-482.744554919863,258.985966615386
0.1875,-726.153093201946,380.581395005412
0.2,-859.598052827534,443.057154368658
0.2125,-862.362720633195,437.658018488443
0.225,-733.607114281487,366.028177125184
0.2375,-492.551750947948,239.836856457467
0.25,-175.612292557285,78.8851744387666
0.2625,169.102684377844,-92.0014479628448
0.275,489.095745496296,-246.799020004318
0.2875,735.484389319514,-362.250625349937
0.3,870.451060255324,-421.357133686814
0.3125,873.079562661199,-415.88940587345
0.325,742.565236892965,-347.511884314852
0.3375,498.414154158775,-227.405136485446
0.35,177.536294760188,-74.4536469598119
0.3625,-171.362683644712,87.7350415860665
0.375,-495.136191868154,234.453302865035
0.3875,-744.343873398948,343.683871960472
0.4,-880.752500587258,399.387857716023
0.4125,-883.239898541185,393.855617145682
0.425,-751.047877211853,328.772371213572
0.4375,-503.962234236956,214.828192174208
0.45,-179.339259936606,69.9719937789159
0.4625,173.504354208248,-83.4037950694741
0.475,500.865355866187,-221.957136661741
0.4875,752.728619550942,-324.902990657339
0.5,890.490941351623,-377.164252364328
0.5125,892.837915567495,-371.571613517904
0.525,759.052294424141,-309.824515135082
0.5375,509.190677713626,-202.117986597315
0.55,181.041942628163,-65.4531201121824
0.5625,-175.546498312963,79.0270465670585
0.575,-506.272028597955,209.320277521576
0.5875,-760.638365755958,305.914604151264
0.6,-899.665938718249,354.705307563718
0.6125,-901.870094904126,349.054861385408
0.625,-766.584603886118,290.68456316067
0.6375,-514.093150285692,189.279280875914
0.65,-182.627232048247,60.892702969083
0.6625,177.47400448173,-74.5976596000918
0.675,511.358451557499,-196.553364070674
0.6875,768.067659245705,-286.737080862839
0.7,908.274966910485,-332.023304245523
0.7125,910.339228699324,-326.319797852363
0.725,773.63016255733,-271.36279565381
0.7375,518.679922272904,-176.322879469637
0.75,184.095223420157,-56.2906931773349
0.7625,-179.285151647365,70.1228055653435
0.775,-516.131768874666,183.665390250749
0.7875,-775.011776775129,267.375633323829
0.8,-916.315840722565,309.132337399277
0.812500000000001,-918.235762994027,303.377465243582
0.825000000000001,-780.191576205482,251.867280560236
0.837500000000001,-522.938828269074,163.253199490277
0.850000000000001,-185.44565473804,51.6522973119138
0.862500000000001,180.985629270958,-65.6018344138798
0.875000000000001,520.570135816733,-170.657069861558
0.887500000000001,781.477100047934,-247.847925774325
0.900000000000001,923.778958159347,-286.043412887964
0.912500000000001,925.553481247001,-280.242572766961
0.925000000000001,786.260365952314,-232.210455363345
0.937500000000001,526.860405747988,-150.078626656511
0.950000000000001,186.689472176375,-46.9816801982176
0.962500000000001,-182.579594549698,61.0414454658485
0.975000000000001,-524.684673385152,157.54007272895
0.987500000000001,-787.44413561885,228.159879898697
1,-930.655322659428,262.771937223897
1.0125,-932.281984220937,256.926645447096
1.025,-791.828390370165,212.404348403197
1.0375,-530.455866092475,136.809968662846
1.05,-187.798914557679,42.2821427653851
1.0625,184.051431540041,-56.4409130210257
