"Time [ms]","InducedVoltage(Cos_Winding) [V]","InducedVoltage(Sin_Winding) [V]"
0,0.00202426940579358,1.1095908415755
0.0125,-0.00309874861479881,0.9629637337794
0.025,-0.0082217666353912,0.8163366259833
0.0375,-0.0107820823902528,0.545410957622379
0.05,-0.00973242376680571,0.191449411852017
0.0625,-0.00488556796671553,-0.191634016974202
0.075,0.00302117705857766,-0.545506462871315
0.0875,0.0124339121154842,-0.816283693579821
0.1,0.0212655002286381,-0.962736556945756
0.1125,0.0273203853383318,-0.962585844469451
0.125,0.0287546469804497,-0.815871075614024
0.1375,0.0244964722210687,-0.544972333265993
0.15,0.0145465215696665,-0.191146161645478
0.1625,6.49870542335694e-05,0.1917042639625
0.175,-0.016741899818471,0.545254316237992
0.1875,-0.0329638493769956,0.815714858336895
0.2,-0.0454772639973671,0.961901977592548
0.2125,-0.0515265066823927,0.961598612265439
0.225,-0.0492700341659658,0.814895572598097
0.2375,-0.0381993597450858,0.544182458411111
0.25,-0.0193515224824806,0.190723450487116
0.2625,0.00475669380505324,-0.19164066959424
0.275,0.0304547433074437,-0.544671297380833
0.2875,0.0534745300593998,-0.814630865675917
0.3,0.0696614559902277,-0.96045726224249
0.3125,0.0757018941632749,-0.959999868006915
0.325,0.0697551413823753,-0.813403519461804
0.3375,0.0518773623682057,-0.543047345797906
0.35,0.0241433579213739,-0.190176095241246
0.3625,-0.00957531065091989,0.191460079076626
0.375,-0.044147888228148,0.543734326908415
0.3875,-0.0739520990940326,0.813030638926213
0.4,-0.0938024579465874,0.958401784728416
0.4125,-0.0998289399385295,0.957792627543846
0.425,-0.0901956091827748,0.811388108263006
0.4375,-0.065523627470703,0.541574802987234
0.45,-0.028919502282986,0.189500266630928
0.4625,0.014390668283645,-0.191154639804696
0.475,0.0578122971985219,-0.542451997929513
0.4875,0.0943821646663346,-0.810913618183143
0.5,0.117882548868448,-0.955735550631628
0.5125,0.123891705579656,-0.954976698052502
0.525,0.11057689309641,-0.808859333447822
0.5375,0.079126323636236,-0.539755293498738
0.55,0.0336780011622105,-0.188716224322774
0.5625,-0.0191958162540507,0.190736804894467
0.575,-0.0714395022749937,0.540821949671446
0.5875,-0.114750457541773,0.80828047197418
0.6,-0.141887147547956,0.952468323903646
0.6125,-0.147873428974533,0.951556752179226
0.625,-0.130889782487487,0.805824162907065
0.6375,-0.0926762601848203,0.537589039202382
0.65,-0.0384129507567019,0.187816326053966
0.6625,0.0239883237013241,-0.190194939063233
0.675,0.0850203099221193,-0.538852352000585
0.6875,0.13504390023175,-0.805138050312165
0.7,0.165799888748657,-0.9486009400815
0.7125,0.171761782984695,-0.947540514558609
0.725,0.151116909079905,-0.802281425866026
0.7375,0.106170171450693,-0.535094780674675
0.75,0.0431250804553975,-0.186788595515
0.7625,-0.028761515936491,0.189525771118431
0.775,-0.0985476801645286,0.536553288780604
0.7875,-0.155255250101951,0.801488466958488
0.8,-0.18960949796746,0.944137790872117
0.812500000000001,-0.195543664172477,0.942927215967768
0.825000000000001,-0.171251957645402,0.798232965664927
0.837500000000001,-0.119598164692592,0.532260430903211
0.850000000000001,-0.0478104425283531,0.185644851858171
0.862500000000001,0.0335200338520145,-0.188743100248786
0.875000000000001,0.11201368820644,-0.533905398760484
0.887500000000001,0.175369179806695,-0.797340247520825
0.900000000000001,0.213301327429761,-0.939076718967916
0.912500000000001,0.219204154692747,-0.937718607124804
0.925000000000001,0.191278916863334,-0.793678891859725
0.937500000000001,0.132949637235302,-0.529083917350306
0.950000000000001,0.0524690949412832,-0.184389379117167
0.962500000000001,-0.0382597344178688,0.18784837550118
0.975000000000001,-0.125410116560766,0.530919190126282
0.987500000000001,-0.195373319500945,0.792683612256672
1,-0.236858633509716,0.933419618672579
1.0125,-0.242725735690995,0.931913377197718
1.025,-0.211186260255866,0.788620458947128
1.0375,-0.146218003212833,0.525575408815529
1.05,-0.0570883077239098,0.183007877137133
1.0625,0.0429728424318548,-0.186824749641092
1.075,0.138728029324105,-0.527603198403552
1.0875,0.215251768747773,-0.7875187473617
1.1,0.260265666690826,-0.927170427781662
1.1125,0.266092044998773,-0.925515713806538
1.125,0.230956812340873,-0.783058709191717
1.1375,0.159393259500341,-0.521733508967292
1.15,0.0616733255786837,-0.181513365739575
1.1625,-0.0476598523976187,0.185684481256381
1.175,-0.151957029459247,0.523947697307474
1.1875,-0.234993234430337,0.781856744360471
1.2,-0.283505326440929,0.920332375870691
1.2125,-0.289287890870304,0.918531419999071
1.225,-0.250580735138479,0.777006094251505
1.2375,-0.172465967995358,0.517559947997263
1.25,-0.0662183496052398,0.17990915369235
1.2625,0.052318582080935,-0.184432454207346
1.275,0.165083909596643,-0.519956429218769
1.2875,0.254586441026972,-0.775704344951017
1.3,0.306564011267859,-0.912913388636721
1.3125,0.312298623474799,-0.910969783440956
1.325,0.270044180891184,-0.770463795484351
1.3375,0.185430340743132,-0.513065358159617
