"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,-968.857343691999,-556.416564440747
0.0125,-838.392484473145,-487.106356256961
0.025,-707.927625254291,-417.796148073174
0.0375,-470.32655673264,-283.730379613674
0.05,-162.114214181965,-104.764690041387
0.0625,169.603557473735,92.1578629947441
0.075,474.303420734485,277.03964369919
0.0875,705.768930383867,421.427860106067
0.1,829.084973022117,502.772207779021
0.1125,825.916828601174,507.955356825125
0.125,697.225310104188,435.396849634306
0.1375,463.069034170792,295.424840638325
0.15,159.433306253367,108.79047152882
0.1625,-167.240682063651,-96.3757352947755
0.175,-467.208259531582,-288.833899408463
0.1875,-694.979030741485,-438.974671303698
0.2,-816.216507765333,-523.383213212508
0.2125,-812.91794608554,-528.484881717591
0.225,-686.0881511758,-452.72700953798
0.2375,-455.509489022266,-306.93003179948
0.25,-156.654115466666,-112.750473029697
0.2625,164.772265212693,100.536368734465
0.275,459.817625046284,300.447236721887
0.2875,683.751416352415,456.246427151616
0.3,802.828396079947,543.662364116954
0.3125,799.400968523696,548.679533535827
0.325,674.512585518718,469.768149687184
0.3375,447.660014516274,318.238882189314
0.35,153.773376109439,116.637404782533
0.3625,-162.201973282911,-104.632640780545
0.375,-452.134072247075,-311.867702830263
0.3875,-672.082656750838,-473.227194958477
0.4,-788.928243328969,-563.596432266527
0.4125,-785.374427821021,-568.523414081265
0.425,-662.5027146949,-486.506979139955
0.4375,-439.528780115719,-329.347847556487
0.45,-150.787632993321,-120.444542425654
0.4625,159.51904404176,108.659046208334
0.475,444.162366875136,323.09277901705
0.4875,659.987387792887,489.902329285149
0.5,774.524757825072,583.16862938096
0.5125,770.848026376024,588.003899130744
0.525,650.072958647233,502.934915160255
0.5375,431.118817321735,340.245736888545
0.55,147.718410233993,124.183300802665
0.5625,-156.744034237153,-112.621967350326
0.575,-435.905805319535,-334.108079103541
0.5875,-647.474526503811,-506.268069049669
0.6,-759.633847426719,-602.369737166723
0.6125,-755.835654863433,-607.109765341177
0.625,-637.238371302184,-519.049390443365
0.6375,-422.434300218126,-350.924091874783
0.65,-144.556990587884,-127.841381367755
0.6625,153.866868753449,116.511211575958
0.675,427.375996090551,344.910877263782
0.6875,634.556031061443,522.311752335757
0.7,744.266421937097,621.190788584389
0.7125,740.351488354812,625.835903933443
0.725,624.002895142586,534.832330042821
0.7375,413.490655487542,361.388136973946
0.75,141.298577996713,131.417547651759
0.7625,-150.890300637234,-120.321625628056
0.775,-418.585419420997,-355.502437575952
0.7875,-621.235623460903,-538.026609855473
0.8,-728.432274334647,-639.623246276279
0.812500000000001,-724.400482240261,-644.168815582398
0.825000000000001,-610.373437785667,-550.281515242306
0.837500000000001,-404.28352085999,-371.623868587471
0.850000000000001,-137.950428842497,-134.910841146485
0.862500000000001,147.820301201413,124.060077319242
0.875000000000001,409.521858126381,365.863784325873
0.887500000000001,607.529869291195,553.408396316122
0.900000000000001,712.135841944157,657.652783374085
0.912500000000001,707.991020747861,662.095177181971
0.925000000000001,596.356841751004,565.383818285048
0.937500000000001,394.815606326121,381.618970242314
0.950000000000001,134.519640950982,138.326485322202
0.962500000000001,-144.662474709145,-127.725743365238
0.975000000000001,-400.199720842325,-375.997115629341
0.987500000000001,-593.434819593371,-568.437727952801
1,-695.386095465219,-675.263864861536
1.0125,-691.128985237582,-679.60027758349
1.025,-581.958574086273,-580.125304848846
1.0375,-385.10105163079,-391.377090483629
1.05,-130.996863136913,-141.640588133422
1.0625,141.406853758621,131.304336662424
1.075,390.626296803933,385.892893684979
1.0875,578.959080451536,583.101289077665
1.1,678.193243870215,692.444742441351
1.1125,673.827406679319,696.671051398019
1.125,567.190684046209,594.493638469745
1.1375,375.13919909758,400.883599351079
1.15,127.393650457098,144.870069223621
1.1625,-138.061417325121,-134.799666370021
1.175,-380.802165814118,-395.540518936569
1.1875,-564.116379409935,-597.3945719696
1.2,-660.570978525015,-709.183601982314
1.2125,-656.099812006524,-713.298662303712
1.225,-552.067172805206,-608.487973362669
1.2375,-364.943314039261,-410.134236781626
1.25,-123.712784716933,-148.009073912594
1.2625,134.6316063952,138.213909143051
1.275,370.735577437702,404.930650291212
1.2875,548.921961865513,611.311786377285
1.3,642.5339386219,725.473601401915
1.3125,637.962154955048,729.474923341012
1.325,536.597507249409,622.096508931162
1.3375,354.519423639458,419.130022133598
1.35,119.953505643354,151.056590894001
1.3625,-131.109839497397,-141.531430146588
1.375,-360.441520429605,-414.076079575668
1.3875,-533.383450198942,-624.841338495628
1.4,-624.097782113197,-741.309197935791
1.4125,-619.426912259612,-745.196215081897
1.425,-520.78766315574,-635.312231983575
1.4375,-343.876702504233,-427.864410800298
1.45,-116.119222481283,-154.006980954545
1.4625,127.513698501736,144.765214458991
1.475,349.919523843368,422.95540280788
1.4875,517.509313602335,637.979503047683
1.5,605.267965161103,756.679719396996
1.5125,600.499642120265,760.447142250657
1.525,504.657421502208,648.137329778326
1.5375,333.008242412949,436.322209014293
1.55,112.210839740549,156.861183249737
1.5625,-123.834979022764,-147.90881021882
1.575,-339.178649179191,-431.572578489125
1.5875,-501.309072828023,-650.717000022376
1.6,-586.053445454087,-771.569476452685
1.6125,-581.191109174269,-775.217066072295
1.625,-488.203125845335,-660.546067962637
1.6375,-321.931313485013,-444.504571463131
1.65,-108.228906411684,-159.612502079821
1.6625,120.078500662328,150.957421350949
1.675,328.222379641357,439.914373029482
1.6875,484.787041522698,663.037815787943
1.7,566.466533752877,785.970598334052
1.7125,561.513395054213,789.492635336985
1.725,471.436196385344,672.530767117822
1.7375,310.651985563684,452.408313854316
1.75,104.174119384461,162.256871924438
1.7625,-116.24130247348,-153.909578569616
1.775,-317.05365348501,-447.973608893277
1.7875,-467.961195252369,-674.93819523558
1.8,-546.519545838786,-799.867206459753
1.8125,-541.480576020581,-803.265222587759
1.825,-454.372844078817,-684.088751972875
1.8375,-299.175586632008,-460.018665726098
1.85,-100.065844333075,-164.812805881946
1.8625,112.337998220808,156.769898185287
1.875,305.686272808032,455.748191596442
1.8875,450.837908415339,686.407232236251
1.9,526.232672235026,813.260125107734
1.9125,521.109206253115,816.527189883706
1.925,437.02738484636,695.217839757469
1.9375,287.512387503753,467.338295361638
1.95,95.8937143267816,167.25975239583
1.9625,-108.358797627375,-159.525537710717
1.97499999999999,-294.13005629327,-463.236411473636
1.98749999999999,-433.435413745922,-697.441881524682
1.99999999999999,-505.61842587756,-826.139247645701
2.01249999999999,-500.414474719945,-829.277326288044
2.02499999999999,-419.412629393299,-705.908702218697
2.03749999999999,-275.673167181771,-474.369349100141
2.04999999999999,-91.6572131664626,-169.597791132637
2.06249999999999,104.312032501477,162.174275751414
2.07499999999999,282.394678183674,470.43689785707
2.08749999999999,415.762317806434,708.042214866147
2.09999999999999,484.688456534855,838.499781250204
2.11249999999999,479.406335941849,841.505460842191
2.12499999999999,401.53170061835,716.155161533774
2.13749999999999,263.661536380531,481.105222717141
2.14999999999999,87.3625826009773,171.830531353354
2.16249999999999,-100.202560975028,-164.730670677911
2.17499999999999,-270.474907186903,-477.332883421587
2.18749999999999,-397.83207686704,-718.200094646718
2.19999999999999,-463.452611077611,-850.332728687525
2.21249999999999,-458.097751151979,-853.207684188665
2.22499999999999,-383.392053755163,-725.938178255265
2.23749999999999,-251.483846725478,-487.536590619704
2.24999999999999,-83.0131476952692,-173.95822038641
2.26249999999999,96.0317420668862,167.184861826676
2.27499999999999,258.385374511229,483.930586175316
2.28749999999999,379.646476110542,727.899627839235
2.29999999999999,441.923207154004,861.625598622972
2.31249999999999,436.496594438904,864.364154901488
2.32499999999999,365.016391416912,735.275475772871
2.33749999999999,239.136824472319,493.639226402641
2.34999999999999,78.615438653203,175.97557996111
2.36249999999999,-91.7972526508573,-169.528717011605
2.37499999999999,-246.134897594266,-490.22480980092
2.38749999999999,-361.219375844314,-737.131321543861
2.39999999999999,-420.113723408135,-872.369589693722
2.41249999999999,-414.61906311636,-874.967192093806
2.42499999999999,-346.410453499516,-744.13971590789
2.43749999999999,-226.643008686389,-499.4339471252
