"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,-964.967924397931,-554.517677657655
0.0125,-835.021518533119,-485.449043973609
0.025,-705.075112668306,-416.380410289563
0.0375,-468.425678117067,-282.773896376597
0.05,-161.453455601255,-104.418833269042
0.0625,168.926585887909,91.8386343993817
0.075,472.395131629449,276.098461719642
0.0875,702.921163236133,420.004224128965
0.1,825.732885135377,501.080864252484
0.1125,822.570972721719,506.252520660439
0.125,694.395069842624,433.942839867684
0.1375,461.183951975493,294.443898319024
0.15,158.778567183673,108.43526335532
0.1625,-166.568674395119,-96.0455583085554
0.175,-465.314476334611,-287.868178271914
0.1875,-692.153989485073,-437.513244066001
0.2,-812.891422479219,-521.647542148286
0.2125,-809.599889784705,-526.738170787237
0.225,-683.282627814098,-451.236786578656
0.2375,-453.641176299041,-305.9250620018
0.25,-156.005444458922,-112.386710299313
0.2625,164.104890501732,100.198378612756
0.275,457.940084138658,299.455309693092
0.2875,680.95104809563,454.74899709133
0.3,799.533116561262,541.884044910568
0.3125,796.114315981785,546.891471152282
0.325,671.733222081263,468.242375801159
0.3375,445.81132789182,317.211495870301
0.35,153.131625856892,116.266330479086
0.3625,-161.541306935344,-104.286459591283
0.375,-450.27327374767,-310.852138660432
0.3875,-669.309019103396,-471.694630883377
0.4,-785.666892965235,-561.778444807673
0.4125,-782.12193292865,-566.695921599746
0.425,-659.753846895,-484.948919479914
0.4375,-437.699015306279,-328.298094547726
0.45,-150.154426811616,-120.066804021671
0.4625,158.863014304698,108.304248443528
0.475,442.321170013315,322.055232820679
0.4875,657.245081815825,488.337346844043
0.5,771.299956713032,581.312912226589
0.5125,767.632705623891,586.139105224075
0.525,647.355749417431,501.345523678065
0.5375,429.311920159293,339.175230735084
0.55,147.094368961016,123.798915235291
0.5625,-156.095509151267,-112.259003987427
0.575,-434.086581171473,-333.0499663024
0.5875,-644.764484526446,-504.672271809405
0.6,-756.448170218331,-600.477533460531
0.6125,-752.659675156709,-605.208812070191
0.625,-634.555360506212,-517.429786178074
0.6375,-420.650955962221,-349.83448985581
0.65,-143.939875678007,-127.449445960253
0.6625,153.22528192419,116.140585568728
0.675,425.579526046203,343.832482310406
0.6875,631.880244562496,520.686070135897
0.7,741.120815640151,619.263396780885
0.7125,737.216471082606,623.900287944732
0.725,621.354850779074,533.183344447544
0.7375,411.730378930191,360.27877641806
0.75,140.690951688468,131.020012609727
0.7625,-150.257732022674,-119.944816061465
0.775,-416.811142346276,-354.404010888845
0.7875,-618.594913360041,-536.37152298042
0.8,-725.328865620885,-637.662072219855
0.812500000000001,-721.307950928426,-642.19962177588
0.825000000000001,-607.762109282115,-548.604809797329
0.837500000000001,-402.547996243264,-370.496030637477
0.850000000000001,-137.351844749583,-134.506417051527
0.862500000000001,147.195065628124,123.675458514969
0.875000000000001,407.771737043405,364.745789112677
0.887500000000001,604.926126146043,551.725914873106
0.900000000000001,709.076973219077,655.65971753637
0.912500000000001,704.943635699215,660.094503196383
0.925000000000001,593.783665592766,563.680242820705
0.937500000000001,393.106739442402,380.47400925568
0.950000000000001,133.931378647449,137.917687270213
0.962500000000001,-144.044710832058,-127.333701420136
0.975000000000001,-398.476380145747,-374.862514667936
0.987500000000001,-590.86995790379,-566.729162886815
1,-692.374371332889,-673.241064343902
1.0125,-688.128892993404,-677.570017571177
1.025,-579.426599599178,-578.397721712769
1.0375,-383.421155202239,-390.217481236807
1.05,-130.419221020885,-141.22648989754
1.0625,140.798936707289,130.906936564802
1.075,388.92933930081,384.741146366401
1.0875,576.436659707419,581.369450041991
1.1,675.230933891173,690.39417826147
1.1125,670.878020734538,694.613875163274
1.125,564.702782628363,592.744095072035
1.1375,373.487569716664,399.70838590811
1.15,126.827355868098,144.451688202947
1.1625,-137.463063848161,-134.396529521852
1.175,-379.134469104507,-394.374084644934
1.1875,-561.637204325604,-595.640226026448
1.2,-657.6609924598,-707.10720496832
