"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,553.588681329013,-963.07013824419
0.0125,484.640188682164,-833.376645897699
0.025,415.691696035315,-703.683153551208
0.0375,282.311017809249,-467.498209941095
0.05,104.253230827338,-161.131086525263
0.0625,-91.680353061954,168.596031828027
0.075,-275.639636477662,471.464190790644
0.0875,-419.313444921254,701.531633642122
0.1,-500.262699486073,824.097240621852
0.1125,-505.431284861581,820.938476258701
0.125,-433.243906241826,693.014271786964
0.1375,-293.97433508695,460.26445402817
0.15,-108.267717853809,158.459483760544
0.1625,95.8849812413411,-166.241096137306
0.175,287.402197668901,-464.39027975685
0.1875,436.812437333588,-690.775929706837
0.2,520.817628394461,-811.269381203388
0.2125,525.905412874772,-807.981373859033
0.225,450.528470704999,-681.914233659984
0.2375,305.449347363285,-452.729845152813
0.25,112.217046601881,-155.689109949646
0.2625,-100.035024314377,163.779405559713
0.275,-298.983309833893,457.024494256285
0.2875,-454.038727278044,679.584927134929
0.3,-541.043216760475,797.925736610758
0.3125,-546.048197615431,794.511023918035
0.325,-467.524934979847,670.377270263788
0.3375,-316.730232862292,444.909318289712
0.35,-116.0946434733,152.818286199472
0.3625,104.121083993631,-161.219080264346
0.375,310.373875433947,-449.365460465517
0.3875,470.975443119711,-667.955773953559
0.4,560.927607025611,-784.075584926361
0.4125,565.842659606396,-780.534636571626
0.425,484.223341563957,-658.412188646872
0.4375,327.811029077745,-436.80567842576
0.45,119.893725277928,-149.845076161152
0.4625,-108.136803775377,158.543063692183
0.475,-321.571284286249,441.422516498273
0.4875,-487.610187268011,655.906522327164
0.5,-580.452480884173,769.725478192296
0.5125,-585.27637842269,766.062662246101
0.525,-500.612069169535,646.028765958208
0.5375,-338.683009351426,428.429280755684
0.55,-123.624104536711,146.789425501968
0.5625,112.089394840044,-155.778963777676
0.575,332.560847999439,-433.198171599023
0.5875,503.937203472888,-643.440883577141
0.6,599.608115854344,-754.892116412125
0.6125,604.337180749596,-751.108290601094
0.625,516.688833489076,-633.244681800044
0.6375,349.337731682751,-419.779791486777
0.65,127.272639652433,-143.63828429671
0.6625,-115.968934857519,152.911878792529
0.675,-343.338406843999,424.702009398504
0.6875,-519.943698208274,630.573085041868
0.7,-618.385346394691,739.584075820237
0.7125,-623.020204369691,735.684938095196
0.725,-532.435369267814,620.061096150251
0.7375,-359.777194385952,410.870310744425
0.75,-130.841999763882,140.394150218206
0.7625,119.771773910039,-149.948729290713
0.775,353.904862022902,-415.944300022594
0.7875,535.622167188136,-617.304769696865
0.8,636.775965398853,-723.812697067349
0.812500000000001,641.311622996841,-719.797117260612
0.825000000000001,547.850418945208,-606.48643435948
0.837500000000001,369.990239572008,-401.700118243805
0.850000000000001,134.326970073588,-137.059385138682
0.862500000000001,-123.500467278665,146.889619646029
0.875000000000001,-364.242099840764,406.916721959186
0.887500000000001,-550.970208261038,603.654124844685
0.900000000000001,-654.766476981689,707.582589383873
0.912500000000001,-659.199638777458,703.454803364265
0.925000000000001,-562.919883530533,592.526356555085
0.937500000000001,-379.964571168197,392.271846571047
0.950000000000001,-137.737290341644,133.643755178986
0.962500000000001,127.156802293144,-143.743045542389
0.975000000000001,374.355402110804,-397.634466912705
0.987500000000001,565.967721745872,-589.616674193099
1,672.341458441987,-690.902575851396
1.0125,676.668804563667,-686.662618497657
1.025,577.632334241931,-578.188982795455
1.0375,389.705034945085,-382.599820592844
1.05,141.045148289963,-130.136466487188
1.0625,-130.729005342015,140.502074632464
1.075,-384.230279390247,388.099894990553
1.0875,-580.603297944474,575.203497131161
1.1,-689.488740179727,673.782422409155
1.1125,-693.707067632892,669.435536938754
1.125,-591.974217657586,563.485744944122
1.1375,-399.192712936171,372.679332270745
1.15,-144.269456879986,126.549944526505
1.1625,134.217462822991,-137.170666177314
1.175,393.86017349311,-378.318755947832
1.1875,594.869370754246,-560.424218969055
1.2,706.196448852369,-656.236918375438
1.2125,710.30433666814,-651.785891082965
1.225,605.942509023562,-548.428060117579
1.2375,408.427537172286,-362.529601381549
1.25,147.401561515293,-122.883676165102
1.2625,-137.624261934462,133.75442014949
1.275,-403.23304063665,368.296094872228
1.2875,-608.760931376357,545.296487570699
1.3,-722.45771128717,638.280226903503
1.3125,-726.452116670326,633.728694008615
1.325,-619.527430897567,533.027060589866
1.3375,-417.407033815017,352.150909689747
1.35,-150.443456340842,119.141379270731
1.3625,140.936511240999,-130.248920976781
1.375,412.360701861376,-358.04667740298
1.3875,622.266997506513,-529.82707262225
1.4,738.265827970443,-619.925373306114
1.4125,742.145995899883,-615.2748691933
1.425,632.721790217698,-517.288057248694
1.4375,426.126421127047,-341.555506989712
1.45,153.39031377273,-115.325049108836
1.4625,-144.165893661947,126.66962268093
1.475,-421.22492642545,347.571518444076
1.4875,-635.382775295073,514.023325123721
1.5,-753.610926526751,601.179016997223
1.5125,-757.372534640544,596.432001424127
1.525,-645.525727771637,501.229305437285
1.5375,-434.572857791294,330.736638598095
1.55,-156.240726935458,111.433968618725
1.5625,147.302947802631,-123.006067859424
1.575,429.830887742301,-336.879799436933
1.5875,648.099716569442,-497.895313055636
1.6,768.478295916218,-582.050734433949
1.6125,772.121298647184,-577.210954917361
1.625,657.916202492259,-484.848745034567
1.6375,442.744477726495,-319.710772410479
1.65,158.989726183111,-107.470917728625
1.6625,-150.347101965869,119.267989367805
1.675,-438.1597499399,325.971922120533
1.6875,-660.405040724312,481.448119785569
1.7,-782.859813344762,562.553359479991
1.7125,-786.378043466818,557.623547605455
1.725,-669.886453702184,468.159903162766
1.7375,-450.63669500492,308.481593933139
1.75,-161.632975266161,103.436139359568
1.7625,153.294443474269,-115.446275948325
1.775,446.209207758206,-314.855202401949
1.7875,672.290634473383,-464.700374468557
1.8,796.739882659778,-542.699331902653
1.8125,800.133975714187,-537.683851448582
1.825,681.431463940914,-451.17626270313
1.8375,458.239277032309,-297.060063968097
1.85,164.184303457367,-99.3468698104387
1.8625,-156.149384652474,111.560230458501
1.875,-453.974425161784,303.541203268996
1.8875,-683.747382599916,447.658050166947
1.9,-810.117828687656,522.507564648428
1.9125,-813.381576123088,517.408169120964
1.925,-692.548536533896,433.912498762136
1.9375,-465.552649961043,285.452811902855
1.95,-166.628085226215,95.1928026153492
1.9625,158.90188632746,-107.600023578114
1.97499999999999,461.453811979539,-292.03874887363
1.98749999999999,694.771104317431,-430.337836949562
1.99999999999999,822.984046176418,-501.989673613042
2.01249999999999,826.119715692006,-496.810240906889
2.02499999999999,703.228332779289,-416.379132166424
2.03749999999999,472.577227641376,-273.668595076718
2.04999999999999,168.965786898211,-90.9768599378115
2.06249999999999,-161.549963482858,103.574083836458
2.07499999999999,-468.646805430439,280.356901887427
2.08749999999999,-705.360349752042,412.746509243417
2.09999999999999,-835.33394533263,481.15733368354
2.11249999999999,-838.337713847097,475.900464250433
2.12499999999999,-713.46653227187,398.581609221207
2.13749999999999,-479.307254380499,261.712058136146
2.14999999999999,-171.197602490302,86.7027725306417
2.16249999999999,164.102815503576,-99.4828838440507
2.17499999999999,475.537136439661,-268.493410905307
2.18749999999999,715.510197294746,-394.899338572382
2.19999999999999,847.158954740024,-460.021271379981
2.21249999999999,850.031528715568,-454.691374343078
2.22499999999999,723.245927767228,-380.529735770148
2.23749999999999,485.732490277215,-249.589496555239
2.24999999999999,173.326232676149,-82.374979973063
2.26249999999999,-166.552949544151,95.3299089745589
2.27499999999999,-482.132511268394,256.462111249349
2.28749999999999,-725.204513586392,376.79965907459
2.29999999999999,-858.44620605281,438.593907857559
2.31249999999999,-861.183271071691,433.192725541585
2.32499999999999,-732.578330160946,362.239123443802
2.33749999999999,-491.838025004266,237.304967402215
2.34999999999999,-175.340015198413,77.9978004885206
2.36249999999999,168.895102918127,-91.1148879443708
2.37499999999999,488.422827592783,-244.269098661214
2.38749999999999,734.434683595457,-358.462012902426
2.39999999999999,869.187028342964,-416.888617881559
2.41249999999999,871.784831634542,-411.420779598867
2.42499999999999,741.440928919217,-343.722919395587
2.43749999999999,497.633597283261,-224.87208462804
2.44999999999999,177.240196018472,-73.567237311037
2.46249999999999,-171.124947875669,86.8407897155044
2.47499999999999,-494.40061054462,231.921253272532
2.48749999999999,-743.200153080599,339.89826561934
2.49999999999999,-879.373843393035,394.922712788699
2.51249999999999,-881.83381840052,389.39202709798
2.52499999999999,-749.832411144158,324.991270442545
2.53749999999999,-503.125882250296,212.304799972162
2.54999999999999,-179.013197710566,69.0896779206859
2.56249999999999,173.24301882315,-82.5126349153125
2.57499999999999,500.060958437981,-219.429793387521
2.58749999999999,751.495897220422,-321.123843064038
2.59999999999999,889.005436063705,-372.711504529133
2.61249999999999,891.326751198456,-367.122607712046
2.62499999999999,757.749937125807,-306.05815806431
2.63749999999999,508.297976306756,-199.603382361394
2.64999999999999,180.701766069411,-64.5730784894762
2.66249999999999,-175.272122936011,78.1376725758963
2.67499999999999,-505.406853562674,206.799557521274
2.68749999999999,-759.317334216397,302.15040592442
2.69999999999999,-898.080121046114,350.269591013122
2.71249999999999,-900.261559478309,344.623944402738
2.72499999999999,-765.193358757481,286.932047728865
2.73749999999999,-513.148242271255,186.777640518508
2.74999999999999,-182.269035105244,60.0170840635891
2.76249999999999,177.182190174763,-73.7139929765007
2.77499999999999,510.439619599724,-194.044166052224
2.78749999999999,766.659941250962,-282.986286265206
2.79999999999999,906.590445647766,-327.606271827039
2.81249999999999,908.628868808164,-321.907861064563
2.82499999999999,772.158472452303,-267.626178093998
2.83749999999999,517.672183105644,-173.830736981759
2.84999999999999,183.718696533443,-55.4210700991224
2.86249999999999,-178.969849183921,69.2402484098466
2.87499999999999,-515.163595976742,181.166566931891
2.88749999999999,-773.517617414895,263.643259763142
2.89999999999999,-914.527159403679,304.735771489187
