"Time [ms]","InducedVoltage(Cos_Winding) [V]","InducedVoltage(Sin_Winding) [V]"
0,1.11240168167979,-0.00179913826066455
0.0125,0.965402535357508,0.00329748693036426
0.025,0.818403389035223,0.00839411212139308
0.0375,0.546788570037585,0.0108999220938519
0.05,0.191938747547081,0.00978028032796559
0.0625,-0.192119992652519,0.00484882425077351
0.075,-0.54688821991819,-0.00313553384050819
0.0875,-0.818350080172192,-0.012608744825294
0.1,-0.965174950369164,-0.0214763470879071
0.1125,-0.965022699120266,-0.0275350964819516
0.125,-0.817936159607136,-0.0289402351642827
0.1375,-0.546352547019939,-0.0246251428170881
0.15,-0.191630569645479,-0.0145951393837866
0.1625,0.192181571660992,-2.73343996978142e-05
0.175,0.546641581491059,0.016866354417927
0.1875,0.817780697383432,0.0331521864264452
0.2,0.964338125993439,0.0457044074325454
0.2125,0.964033093677582,0.051757812308665
0.225,0.816960195676935,0.049470168759065
0.2375,0.545561336647574,0.0383372741709355
0.25,0.191204804421707,0.0194029088648095
0.2625,-0.192124536751622,-0.00480030260567471
0.275,-0.546049191805126,-0.0305860477526512
0.2875,-0.8166972440694,-0.0536768278598439
0.3,-0.962888458931311,-0.0699049859723706
0.3125,-0.962431533856619,-0.0759499559859109
0.325,-0.815461362840657,-0.0699688415612281
0.3375,-0.544423923449947,-0.0520242975601896
0.35,-0.190655802676709,-0.0241989261054988
0.3625,0.191948686771565,0.00962157230833698
0.375,0.545108279519418,0.0442870906637954
0.3875,0.815088129733356,0.0741700474859069
0.4,0.9608275279323,0.0940633108414019
0.4125,0.96021627104412,0.10009341317512
0.425,0.813440328669341,0.0904235546839461
0.4375,0.542941767978831,0.0656795527025922
0.45,0.189977626242906,0.0289780565252101
0.4625,-0.191638211908756,-0.0144394078620194
0.475,-0.543823237190827,-0.057963207549231
0.4875,-0.812961872192372,-0.0946117376952207
0.5,-0.958152673770263,-0.118160224124094
0.5125,-0.957389818413366,-0.124172503030258
0.525,-0.810901544338027,-0.110819299051037
0.5375,-0.541116878598881,-0.0792907982449304
0.55,-0.189193593154139,-0.0337394380536171
0.5625,0.19121885736382,0.0192473162255741
